county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
Van Zandt,4 - E ISD,President,,LIB,Chase Oliver,3,,,
Van Zandt,4 - E ISD,President,,GRN,Jill Stein,3,,,
Van Zandt,4 - E ISD,President,,,Overvotes,2,,,
Van Zandt,4 - E ISD,President,,,Undervotes,4,,,
Van Zandt,1-A,U.S. Senate,,REP,Ted Cruz,1429,,,
Van Zandt,1-A,U.S. Senate,,DEM,Colin Allred,218,,,
Van Zandt,1-A,U.S. Senate,,LIB,Ted Brown,36,,,
Van Zandt,1-A,U.S. Senate,,,Overvotes,0,,,
Van Zandt,1-A,U.S. Senate,,,Undervotes,9,,,
Van Zandt,1-B,U.S. Senate,,REP,Ted Cruz,1830,,,
Van Zandt,1-B,U.S. Senate,,DEM,Colin Allred,300,,,
Van Zandt,1-B,U.S. Senate,,LIB,Ted Brown,34,,,
Van Zandt,1-B,U.S. Senate,,,Overvotes,1,,,
Van Zandt,1-B,U.S. Senate,,,Undervotes,17,,,
Van Zandt,1-C,U.S. Senate,,REP,Ted Cruz,1083,,,
Van Zandt,1-C,U.S. Senate,,DEM,Colin Allred,134,,,
Van Zandt,1-C,U.S. Senate,,LIB,Ted Brown,17,,,
Van Zandt,1-C,U.S. Senate,,,Overvotes,0,,,
Van Zandt,1-C,U.S. Senate,,,Undervotes,4,,,
Van Zandt,1-D,U.S. Senate,,REP,Ted Cruz,839,,,
Van Zandt,1-D,U.S. Senate,,DEM,Colin Allred,143,,,
Van Zandt,1-D,U.S. Senate,,LIB,Ted Brown,11,,,
Van Zandt,1-D,U.S. Senate,,,Overvotes,0,,,
Van Zandt,1-D,U.S. Senate,,,Undervotes,6,,,
Van Zandt,1-E,U.S. Senate,,REP,Ted Cruz,467,,,
Van Zandt,1-E,U.S. Senate,,DEM,Colin Allred,115,,,
Van Zandt,1-E,U.S. Senate,,LIB,Ted Brown,12,,,
Van Zandt,1-E,U.S. Senate,,,Overvotes,1,,,
Van Zandt,1-E,U.S. Senate,,,Undervotes,7,,,
Van Zandt,2-A,U.S. Senate,,REP,Ted Cruz,2379,,,
Van Zandt,2-A,U.S. Senate,,DEM,Colin Allred,358,,,
Van Zandt,2-A,U.S. Senate,,LIB,Ted Brown,52,,,
Van Zandt,2-A,U.S. Senate,,,Overvotes,5,,,
Van Zandt,2-A,U.S. Senate,,,Undervotes,13,,,
Van Zandt,2-B,U.S. Senate,,REP,Ted Cruz,929,,,
Van Zandt,2-B,U.S. Senate,,DEM,Colin Allred,115,,,
Van Zandt,2-B,U.S. Senate,,LIB,Ted Brown,13,,,
Van Zandt,2-B,U.S. Senate,,,Overvotes,1,,,
Van Zandt,2-B,U.S. Senate,,,Undervotes,4,,,
Van Zandt,2 - B ISD,U.S. Senate,,REP,Ted Cruz,253,,,
Van Zandt,2 - B ISD,U.S. Senate,,DEM,Colin Allred,27,,,
Van Zandt,2 - B ISD,U.S. Senate,,LIB,Ted Brown,5,,,
Van Zandt,2 - B ISD,U.S. Senate,,,Overvotes,0,,,
Van Zandt,2 - B ISD,U.S. Senate,,,Undervotes,0,,,
Van Zandt,2-C,U.S. Senate,,REP,Ted Cruz,1686,,,
Van Zandt,2-C,U.S. Senate,,DEM,Colin Allred,195,,,
Van Zandt,2-C,U.S. Senate,,LIB,Ted Brown,31,,,
Van Zandt,2-C,U.S. Senate,,,Overvotes,2,,,
Van Zandt,2-C,U.S. Senate,,,Undervotes,14,,,
Van Zandt,2-D,U.S. Senate,,REP,Ted Cruz,1213,,,
Van Zandt,2-D,U.S. Senate,,DEM,Colin Allred,138,,,
Van Zandt,2-D,U.S. Senate,,LIB,Ted Brown,13,,,
Van Zandt,2-D,U.S. Senate,,,Overvotes,0,,,
Van Zandt,2-D,U.S. Senate,,,Undervotes,6,,,
Van Zandt,3-A,U.S. Senate,,REP,Ted Cruz,447,,,
Van Zandt,3-A,U.S. Senate,,DEM,Colin Allred,104,,,
Van Zandt,3-A,U.S. Senate,,LIB,Ted Brown,11,,,
Van Zandt,3-A,U.S. Senate,,,Overvotes,0,,,
Van Zandt,3-A,U.S. Senate,,,Undervotes,5,,,
Van Zandt,3-B,U.S. Senate,,REP,Ted Cruz,931,,,
Van Zandt,3-B,U.S. Senate,,DEM,Colin Allred,267,,,
Van Zandt,3-B,U.S. Senate,,LIB,Ted Brown,23,,,
Van Zandt,3-B,U.S. Senate,,,Overvotes,1,,,
Van Zandt,3-B,U.S. Senate,,,Undervotes,4,,,
Van Zandt,3-C,U.S. Senate,,REP,Ted Cruz,1822,,,
Van Zandt,3-C,U.S. Senate,,DEM,Colin Allred,434,,,
Van Zandt,3-C,U.S. Senate,,LIB,Ted Brown,39,,,
Van Zandt,3-C,U.S. Senate,,,Overvotes,2,,,
Van Zandt,3-C,U.S. Senate,,,Undervotes,14,,,
Van Zandt,3-D,U.S. Senate,,REP,Ted Cruz,2056,,,
Van Zandt,3-D,U.S. Senate,,DEM,Colin Allred,254,,,
Van Zandt,3-D,U.S. Senate,,LIB,Ted Brown,38,,,
Van Zandt,3-D,U.S. Senate,,,Overvotes,1,,,
Van Zandt,3-D,U.S. Senate,,,Undervotes,8,,,
Van Zandt,4-A,U.S. Senate,,REP,Ted Cruz,927,,,
Van Zandt,4-A,U.S. Senate,,DEM,Colin Allred,120,,,
Van Zandt,4-A,U.S. Senate,,LIB,Ted Brown,12,,,
Van Zandt,4-A,U.S. Senate,,,Overvotes,2,,,
Van Zandt,4-A,U.S. Senate,,,Undervotes,5,,,
Van Zandt,4 - A ISD,U.S. Senate,,REP,Ted Cruz,11,,,
Van Zandt,4 - A ISD,U.S. Senate,,DEM,Colin Allred,2,,,
Van Zandt,4 - A ISD,U.S. Senate,,LIB,Ted Brown,0,,,
Van Zandt,4 - A ISD,U.S. Senate,,,Overvotes,0,,,
Van Zandt,4 - A ISD,U.S. Senate,,,Undervotes,0,,,
Van Zandt,4-B,U.S. Senate,,REP,Ted Cruz,1190,,,
Van Zandt,4-B,U.S. Senate,,DEM,Colin Allred,188,,,
Van Zandt,4-B,U.S. Senate,,LIB,Ted Brown,24,,,
Van Zandt,4-B,U.S. Senate,,,Overvotes,2,,,
Van Zandt,4-B,U.S. Senate,,,Undervotes,7,,,
Van Zandt,4-C,U.S. Senate,,REP,Ted Cruz,1045,,,
Van Zandt,4-C,U.S. Senate,,DEM,Colin Allred,187,,,
Van Zandt,4-C,U.S. Senate,,LIB,Ted Brown,20,,,
Van Zandt,4-C,U.S. Senate,,,Overvotes,0,,,
Van Zandt,4-C,U.S. Senate,,,Undervotes,6,,,
Van Zandt,4 - C ISD,U.S. Senate,,REP,Ted Cruz,79,,,
Van Zandt,4 - C ISD,U.S. Senate,,DEM,Colin Allred,12,,,
Van Zandt,4 - C ISD,U.S. Senate,,LIB,Ted Brown,1,,,
Van Zandt,4 - C ISD,U.S. Senate,,,Overvotes,0,,,
Van Zandt,4 - C ISD,U.S. Senate,,,Undervotes,1,,,
Van Zandt,4-D,U.S. Senate,,REP,Ted Cruz,2143,,,
Van Zandt,4-D,U.S. Senate,,DEM,Colin Allred,422,,,
Van Zandt,4-D,U.S. Senate,,LIB,Ted Brown,50,,,
Van Zandt,4-D,U.S. Senate,,,Overvotes,3,,,
Van Zandt,4-D,U.S. Senate,,,Undervotes,13,,,
Van Zandt,4 - D ISD,U.S. Senate,,REP,Ted Cruz,23,,,
Van Zandt,4 - D ISD,U.S. Senate,,DEM,Colin Allred,5,,,
Van Zandt,4 - D ISD,U.S. Senate,,LIB,Ted Brown,0,,,
Van Zandt,4 - D ISD,U.S. Senate,,,Overvotes,0,,,
Van Zandt,4 - D ISD,U.S. Senate,,,Undervotes,0,,,
Van Zandt,4-E,U.S. Senate,,REP,Ted Cruz,129,,,
Van Zandt,4-E,U.S. Senate,,DEM,Colin Allred,9,,,
Van Zandt,4-E,U.S. Senate,,LIB,Ted Brown,2,,,
Van Zandt,4-E,U.S. Senate,,,Overvotes,0,,,
Van Zandt,4-E,U.S. Senate,,,Undervotes,0,,,
Van Zandt,4 - E ISD,U.S. Senate,,REP,Ted Cruz,715,,,
Van Zandt,4 - E ISD,U.S. Senate,,DEM,Colin Allred,91,,,
Van Zandt,4 - E ISD,U.S. Senate,,LIB,Ted Brown,12,,,
Van Zandt,4 - E ISD,U.S. Senate,,,Overvotes,0,,,
Van Zandt,4 - E ISD,U.S. Senate,,,Undervotes,7,,,
Van Zandt,1-A,U.S. House,5,REP,Lance Gooden,1494,,,
Van Zandt,1-A,U.S. House,5,DEM,"Ruth ""Truth"" Torres",172,,,
Van Zandt,1-A,U.S. House,5,,Overvotes,5,,,
Van Zandt,1-A,U.S. House,5,,Undervotes,21,,,
Van Zandt,1-B,U.S. House,5,REP,Lance Gooden,1889,,,
Van Zandt,1-B,U.S. House,5,DEM,"Ruth ""Truth"" Torres",261,,,
Van Zandt,1-B,U.S. House,5,,Overvotes,2,,,
Van Zandt,1-B,U.S. House,5,,Undervotes,32,,,
Van Zandt,1-C,U.S. House,5,REP,Lance Gooden,1114,,,
Van Zandt,1-C,U.S. House,5,DEM,"Ruth ""Truth"" Torres",115,,,
Van Zandt,1-C,U.S. House,5,,Overvotes,3,,,
Van Zandt,1-C,U.S. House,5,,Undervotes,6,,,
Van Zandt,1-D,U.S. House,5,REP,Lance Gooden,869,,,
Van Zandt,1-D,U.S. House,5,DEM,"Ruth ""Truth"" Torres",110,,,
Van Zandt,1-D,U.S. House,5,,Overvotes,1,,,
Van Zandt,1-D,U.S. House,5,,Undervotes,19,,,
Van Zandt,1-E,U.S. House,5,REP,Lance Gooden,487,,,
Van Zandt,1-E,U.S. House,5,DEM,"Ruth ""Truth"" Torres",101,,,
