county,precinct,office,district,party,candidate,absentee,early_voting,election_day,votes
Burnet,Precinct 8,COUNTY ATTORNEY,,,Under Votes,15,123,29,167
Burnet,Precinct 9,COUNTY ATTORNEY,,,Eddie Arredondo,11,118,24,153
Burnet,Precinct 9,COUNTY ATTORNEY,,,Over Votes,0,0,0,0
Burnet,Precinct 9,COUNTY ATTORNEY,,,Under Votes,2,17,4,23
Burnet,Precinct 9 - MFISD,COUNTY ATTORNEY,,,Eddie Arredondo,77,1453,235,1765
Burnet,Precinct 9 - MFISD,COUNTY ATTORNEY,,,Over Votes,0,0,0,0
Burnet,Precinct 9 - MFISD,COUNTY ATTORNEY,,,Under Votes,35,251,63,349
Burnet,Precinct 10,COUNTY ATTORNEY,,,Eddie Arredondo,40,1061,129,1230
Burnet,Precinct 10,COUNTY ATTORNEY,,,Over Votes,0,0,0,0
Burnet,Precinct 10,COUNTY ATTORNEY,,,Under Votes,27,217,26,270
Burnet,Precinct 11,COUNTY ATTORNEY,,,Eddie Arredondo,14,352,136,502
Burnet,Precinct 11,COUNTY ATTORNEY,,,Over Votes,0,0,0,0
Burnet,Precinct 11,COUNTY ATTORNEY,,,Under Votes,7,45,28,80
Burnet,Precinct 12,COUNTY ATTORNEY,,,Eddie Arredondo,43,1143,197,1383
Burnet,Precinct 12,COUNTY ATTORNEY,,,Over Votes,0,0,0,0
Burnet,Precinct 12,COUNTY ATTORNEY,,,Under Votes,21,250,64,335
Burnet,Precinct 13,COUNTY ATTORNEY,,,Eddie Arredondo,25,640,165,830
Burnet,Precinct 13,COUNTY ATTORNEY,,,Over Votes,0,0,0,0
Burnet,Precinct 13,COUNTY ATTORNEY,,,Under Votes,4,154,46,204
Burnet,Precinct 14,COUNTY ATTORNEY,,,Eddie Arredondo,8,365,95,468
Burnet,Precinct 14,COUNTY ATTORNEY,,,Over Votes,0,0,0,0
Burnet,Precinct 14,COUNTY ATTORNEY,,,Under Votes,7,51,22,80
Burnet,Precinct 15,COUNTY ATTORNEY,,,Eddie Arredondo,27,400,252,679
Burnet,Precinct 15,COUNTY ATTORNEY,,,Over Votes,0,0,0,0
Burnet,Precinct 15,COUNTY ATTORNEY,,,Under Votes,8,88,52,148
Burnet,Precinct 16,COUNTY ATTORNEY,,,Eddie Arredondo,15,237,199,451
Burnet,Precinct 16,COUNTY ATTORNEY,,,Over Votes,0,0,0,0
Burnet,Precinct 16,COUNTY ATTORNEY,,,Under Votes,6,44,36,86
Burnet,Precinct 17,COUNTY ATTORNEY,,,Eddie Arredondo,73,1393,196,1662
Burnet,Precinct 17,COUNTY ATTORNEY,,,Over Votes,0,0,0,0
Burnet,Precinct 17,COUNTY ATTORNEY,,,Under Votes,27,252,44,323
Burnet,Precinct 18,COUNTY ATTORNEY,,,Eddie Arredondo,29,598,93,720
Burnet,Precinct 18,COUNTY ATTORNEY,,,Over Votes,0,0,0,0
Burnet,Precinct 18,COUNTY ATTORNEY,,,Under Votes,21,189,35,245
Burnet,Precinct 19,COUNTY ATTORNEY,,,Eddie Arredondo,162,2201,368,2731
Burnet,Precinct 19,COUNTY ATTORNEY,,,Over Votes,0,0,0,0
Burnet,Precinct 19,COUNTY ATTORNEY,,,Under Votes,85,562,68,715
Burnet,Precinct 20,COUNTY ATTORNEY,,,Eddie Arredondo,0,15,1,16
Burnet,Precinct 20,COUNTY ATTORNEY,,,Over Votes,0,0,0,0
Burnet,Precinct 20,COUNTY ATTORNEY,,,Under Votes,0,4,0,4
Burnet,Precinct 20 - MFISD,COUNTY ATTORNEY,,,Eddie Arredondo,98,1657,373,2128
Burnet,Precinct 20 - MFISD,COUNTY ATTORNEY,,,Over Votes,0,0,0,0
Burnet,Precinct 20 - MFISD,COUNTY ATTORNEY,,,Under Votes,80,454,106,640
Burnet,Precinct 1,COUNTY COMMISSIONER PRECINCT 1,,,Jim Luther Jr,38,910,118,1066
Burnet,Precinct 1,COUNTY COMMISSIONER PRECINCT 1,,,Over Votes,0,0,0,0
Burnet,Precinct 1,COUNTY COMMISSIONER PRECINCT 1,,,Under Votes,169,133,28,330
Burnet,Precinct 5,COUNTY COMMISSIONER PRECINCT 1,,,Jim Luther Jr,46,549,142,737
Burnet,Precinct 5,COUNTY COMMISSIONER PRECINCT 1,,,Over Votes,0,0,0,0
Burnet,Precinct 5,COUNTY COMMISSIONER PRECINCT 1,,,Under Votes,22,110,48,180
Burnet,Precinct 7,COUNTY COMMISSIONER PRECINCT 1,,,Jim Luther Jr,30,315,106,451
Burnet,Precinct 7,COUNTY COMMISSIONER PRECINCT 1,,,Over Votes,0,0,0,0
Burnet,Precinct 7,COUNTY COMMISSIONER PRECINCT 1,,,Under Votes,7,69,20,96
Burnet,Precinct 8,COUNTY COMMISSIONER PRECINCT 1,,,Jim Luther Jr,42,761,181,984
Burnet,Precinct 8,COUNTY COMMISSIONER PRECINCT 1,,,Over Votes,0,0,0,0
Burnet,Precinct 8,COUNTY COMMISSIONER PRECINCT 1,,,Under Votes,14,111,29,154
Burnet,Precinct 9,COUNTY COMMISSIONER PRECINCT 1,,,Jim Luther Jr,11,118,24,153
Burnet,Precinct 9,COUNTY COMMISSIONER PRECINCT 1,,,Over Votes,0,0,0,0
Burnet,Precinct 9,COUNTY COMMISSIONER PRECINCT 1,,,Under Votes,2,17,4,23
Burnet,Precinct 9 - MFISD,COUNTY COMMISSIONER PRECINCT 1,,,Jim Luther Jr,79,1464,241,1784
Burnet,Precinct 9 - MFISD,COUNTY COMMISSIONER PRECINCT 1,,,Over Votes,0,0,0,0
Burnet,Precinct 9 - MFISD,COUNTY COMMISSIONER PRECINCT 1,,,Under Votes,33,240,57,330
Burnet,Precinct 11,COUNTY COMMISSIONER PRECINCT 1,,,Jim Luther Jr,13,356,133,502
Burnet,Precinct 11,COUNTY COMMISSIONER PRECINCT 1,,,Over Votes,0,0,0,0
Burnet,Precinct 11,COUNTY COMMISSIONER PRECINCT 1,,,Under Votes,8,41,31,80
Burnet,Precinct 18,COUNTY COMMISSIONER PRECINCT 1,,,Jim Luther Jr,30,606,94,730
Burnet,Precinct 18,COUNTY COMMISSIONER PRECINCT 1,,,Over Votes,0,0,0,0
Burnet,Precinct 18,COUNTY COMMISSIONER PRECINCT 1,,,Under Votes,20,181,34,235
Burnet,Precinct 6,COUNTY COMMISSIONER PRECINCT 3,,,Chad Collier,1,14,0,15
Burnet,Precinct 6,COUNTY COMMISSIONER PRECINCT 3,,,Over Votes,0,0,0,0
Burnet,Precinct 6,COUNTY COMMISSIONER PRECINCT 3,,,Under Votes,0,4,1,5
Burnet,Precinct 6 - MFISD,COUNTY COMMISSIONER PRECINCT 3,,,Chad Collier,12,283,122,417
Burnet,Precinct 6 - MFISD,COUNTY COMMISSIONER PRECINCT 3,,,Over Votes,0,0,0,0
Burnet,Precinct 6 - MFISD,COUNTY COMMISSIONER PRECINCT 3,,,Under Votes,8,67,26,101
Burnet,Precinct 10,COUNTY COMMISSIONER PRECINCT 3,,,Chad Collier,39,1081,133,1253
Burnet,Precinct 10,COUNTY COMMISSIONER PRECINCT 3,,,Over Votes,0,0,0,0
Burnet,Precinct 10,COUNTY COMMISSIONER PRECINCT 3,,,Under Votes,28,197,22,247
Burnet,Precinct 12,COUNTY COMMISSIONER PRECINCT 3,,,Chad Collier,43,1169,204,1416
Burnet,Precinct 12,COUNTY COMMISSIONER PRECINCT 3,,,Over Votes,0,0,0,0
Burnet,Precinct 12,COUNTY COMMISSIONER PRECINCT 3,,,Under Votes,21,224,57,302
Burnet,Precinct 20,COUNTY COMMISSIONER PRECINCT 3,,,Chad Collier,0,15,1,16
Burnet,Precinct 20,COUNTY COMMISSIONER PRECINCT 3,,,Over Votes,0,0,0,0
Burnet,Precinct 20,COUNTY COMMISSIONER PRECINCT 3,,,Under Votes,0,4,0,4
Burnet,Precinct 20 - MFISD,COUNTY COMMISSIONER PRECINCT 3,,,Chad Collier,96,1659,368,2123
Burnet,Precinct 20 - MFISD,COUNTY COMMISSIONER PRECINCT 3,,,Over Votes,0,0,0,0
Burnet,Precinct 20 - MFISD,COUNTY COMMISSIONER PRECINCT 3,,,Under Votes,82,452,111,645
Burnet,Precinct 1,COUNTY CONSTABLE PRECINCT 1,,,Leslie Ray,40,915,118,1073
Burnet,Precinct 1,COUNTY CONSTABLE PRECINCT 1,,,Over Votes,0,0,0,0
Burnet,Precinct 1,COUNTY CONSTABLE PRECINCT 1,,,Under Votes,167,128,28,323
Burnet,Precinct 5,COUNTY CONSTABLE PRECINCT 1,,,Leslie Ray,45,545,149,739
Burnet,Precinct 5,COUNTY CONSTABLE PRECINCT 1,,,Over Votes,0,0,0,0
Burnet,Precinct 5,COUNTY CONSTABLE PRECINCT 1,,,Under Votes,23,114,41,178
Burnet,Precinct 7,COUNTY CONSTABLE PRECINCT 1,,,Leslie Ray,29,320,103,452
Burnet,Precinct 7,COUNTY CONSTABLE PRECINCT 1,,,Over Votes,0,0,0,0
Burnet,Precinct 7,COUNTY CONSTABLE PRECINCT 1,,,Under Votes,8,64,23,95
Burnet,Precinct 8,COUNTY CONSTABLE PRECINCT 1,,,Leslie Ray,41,754,186,981
Burnet,Precinct 8,COUNTY CONSTABLE PRECINCT 1,,,Over Votes,0,0,0,0
Burnet,Precinct 8,COUNTY CONSTABLE PRECINCT 1,,,Under Votes,15,118,24,157
Burnet,Precinct 9,COUNTY CONSTABLE PRECINCT 1,,,Leslie Ray,11,116,25,152
Burnet,Precinct 9,COUNTY CONSTABLE PRECINCT 1,,,Over Votes,0,0,0,0
Burnet,Precinct 9,COUNTY CONSTABLE PRECINCT 1,,,Under Votes,2,19,3,24
Burnet,Precinct 9 - MFISD,COUNTY CONSTABLE PRECINCT 1,,,Leslie Ray,76,1375,233,1684
Burnet,Precinct 9 - MFISD,COUNTY CONSTABLE PRECINCT 1,,,Over Votes,0,0,0,0
Burnet,Precinct 9 - MFISD,COUNTY CONSTABLE PRECINCT 1,,,Under Votes,36,329,65,430
Burnet,Precinct 11,COUNTY CONSTABLE PRECINCT 1,,,Leslie Ray,13,353,139,505
Burnet,Precinct 11,COUNTY CONSTABLE PRECINCT 1,,,Over Votes,0,0,0,0
Burnet,Precinct 11,COUNTY CONSTABLE PRECINCT 1,,,Under Votes,8,44,25,77
Burnet,Precinct 18,COUNTY CONSTABLE PRECINCT 1,,,Leslie Ray,30,573,93,696
Burnet,Precinct 18,COUNTY CONSTABLE PRECINCT 1,,,Over Votes,0,0,0,0
Burnet,Precinct 18,COUNTY CONSTABLE PRECINCT 1,,,Under Votes,20,214,35,269
Burnet,Precinct 2,COUNTY CONSTABLE PRECINCT 2,,,Garry Adams,139,1575,243,1957
Burnet,Precinct 2,COUNTY CONSTABLE PRECINCT 2,,,Over Votes,0,0,0,0
Burnet,Precinct 2,COUNTY CONSTABLE PRECINCT 2,,,Under Votes,56,329,59,444
Burnet,Precinct 13,COUNTY CONSTABLE PRECINCT 2,,,Garry Adams,26,644,164,834
Burnet,Precinct 13,COUNTY CONSTABLE PRECINCT 2,,,Over Votes,0,0,0,0
Burnet,Precinct 13,COUNTY CONSTABLE PRECINCT 2,,,Under Votes,3,150,47,200
Burnet,Precinct 14,COUNTY CONSTABLE PRECINCT 2,,,Garry Adams,8,363,97,468
Burnet,Precinct 14,COUNTY CONSTABLE PRECINCT 2,,,Over Votes,0,0,0,0
Burnet,Precinct 14,COUNTY CONSTABLE PRECINCT 2,,,Under Votes,7,53,20,80
Burnet,Precinct 15,COUNTY CONSTABLE PRECINCT 2,,,Garry Adams,26,399,251,676
Burnet,Precinct 15,COUNTY CONSTABLE PRECINCT 2,,,Over Votes,0,0,0,0
Burnet,Precinct 15,COUNTY CONSTABLE PRECINCT 2,,,Under Votes,9,89,53,151
Burnet,Precinct 16,COUNTY CONSTABLE PRECINCT 2,,,Garry Adams,16,237,201,454
Burnet,Precinct 16,COUNTY CONSTABLE PRECINCT 2,,,Over Votes,0,0,0,0
Burnet,Precinct 16,COUNTY CONSTABLE PRECINCT 2,,,Under Votes,5,44,34,83
Burnet,Precinct 17,COUNTY CONSTABLE PRECINCT 2,,,Garry Adams,73,1394,197,1664
Burnet,Precinct 17,COUNTY CONSTABLE PRECINCT 2,,,Over Votes,0,0,0,0
Burnet,Precinct 17,COUNTY CONSTABLE PRECINCT 2,,,Under Votes,27,251,43,321
Burnet,Precinct 6,COUNTY CONSTABLE PRECINCT 3,,,Scott Davis,1,15,0,16
Burnet,Precinct 6,COUNTY CONSTABLE PRECINCT 3,,,Over Votes,0,0,0,0
Burnet,Precinct 6,COUNTY CONSTABLE PRECINCT 3,,,Under Votes,0,3,1,4
Burnet,Precinct 6 - MFISD,COUNTY CONSTABLE PRECINCT 3,,,Scott Davis,12,266,110,388
Burnet,Precinct 6 - MFISD,COUNTY CONSTABLE PRECINCT 3,,,Over Votes,0,0,0,0
Burnet,Precinct 6 - MFISD,COUNTY CONSTABLE PRECINCT 3,,,Under Votes,8,84,38,130
Burnet,Precinct 10,COUNTY CONSTABLE PRECINCT 3,,,Scott Davis,39,1078,131,1248
Burnet,Precinct 10,COUNTY CONSTABLE PRECINCT 3,,,Over Votes,0,0,0,0
Burnet,Precinct 10,COUNTY CONSTABLE PRECINCT 3,,,Under Votes,28,200,24,252
Burnet,Precinct 12,COUNTY CONSTABLE PRECINCT 3,,,Scott Davis,43,1169,201,1413
Burnet,Precinct 12,COUNTY CONSTABLE PRECINCT 3,,,Over Votes,0,0,0,0
Burnet,Precinct 12,COUNTY CONSTABLE PRECINCT 3,,,Under Votes,21,224,60,305
Burnet,Precinct 20,COUNTY CONSTABLE PRECINCT 3,,,Scott Davis,0,15,1,16
Burnet,Precinct 20,COUNTY CONSTABLE PRECINCT 3,,,Over Votes,0,0,0,0
Burnet,Precinct 20,COUNTY CONSTABLE PRECINCT 3,,,Under Votes,0,4,0,4
Burnet,Precinct 20 - MFISD,COUNTY CONSTABLE PRECINCT 3,,,Scott Davis,95,1575,355,2025
Burnet,Precinct 20 - MFISD,COUNTY CONSTABLE PRECINCT 3,,,Over Votes,0,0,0,0
Burnet,Precinct 20 - MFISD,COUNTY CONSTABLE PRECINCT 3,,,Under Votes,83,536,124,743
Burnet,Precinct 3,COUNTY CONSTABLE PRECINCT 4,,,"Millicent ""Missy"" Bindseil",21,529,167,717
Burnet,Precinct 3,COUNTY CONSTABLE PRECINCT 4,,,Over Votes,0,0,0,0
Burnet,Precinct 3,COUNTY CONSTABLE PRECINCT 4,,,Under Votes,14,132,63,209
Burnet,Precinct 4,COUNTY CONSTABLE PRECINCT 4,,,"Millicent ""Missy"" Bindseil",59,1436,364,1859
Burnet,Precinct 4,COUNTY CONSTABLE PRECINCT 4,,,Over Votes,0,0,0,0
Burnet,Precinct 4,COUNTY CONSTABLE PRECINCT 4,,,Under Votes,59,332,70,461
Burnet,Precinct 19,COUNTY CONSTABLE PRECINCT 4,,,"Millicent ""Missy"" Bindseil",162,2212,370,2744
Burnet,Precinct 19,COUNTY CONSTABLE PRECINCT 4,,,Over Votes,0,0,0,0
Burnet,Precinct 19,COUNTY CONSTABLE PRECINCT 4,,,Under Votes,85,551,66,702
Burnet,Precinct 1,COUNTY TAX ASSESSOR-COLLECTOR,,,DeAnne Fisher,37,919,121,1077
Burnet,Precinct 1,COUNTY TAX ASSESSOR-COLLECTOR,,,Over Votes,0,0,0,0
Burnet,Precinct 1,COUNTY TAX ASSESSOR-COLLECTOR,,,Under Votes,170,124,25,319
Burnet,Precinct 2,COUNTY TAX ASSESSOR-COLLECTOR,,,DeAnne Fisher,138,1598,245,1981
Burnet,Precinct 2,COUNTY TAX ASSESSOR-COLLECTOR,,,Over Votes,0,0,0,0
Burnet,Precinct 2,COUNTY TAX ASSESSOR-COLLECTOR,,,Under Votes,57,306,57,420
Burnet,Precinct 3,COUNTY TAX ASSESSOR-COLLECTOR,,,DeAnne Fisher,22,532,168,722
Burnet,Precinct 3,COUNTY TAX ASSESSOR-COLLECTOR,,,Over Votes,0,0,0,0
Burnet,Precinct 3,COUNTY TAX ASSESSOR-COLLECTOR,,,Under Votes,13,129,62,204
Burnet,Precinct 4,COUNTY TAX ASSESSOR-COLLECTOR,,,DeAnne Fisher,59,1444,356,1859
Burnet,Precinct 4,COUNTY TAX ASSESSOR-COLLECTOR,,,Over Votes,0,0,0,0
Burnet,Precinct 4,COUNTY TAX ASSESSOR-COLLECTOR,,,Under Votes,59,324,78,461
Burnet,Precinct 5,COUNTY TAX ASSESSOR-COLLECTOR,,,DeAnne Fisher,43,535,143,721
Burnet,Precinct 5,COUNTY TAX ASSESSOR-COLLECTOR,,,Over Votes,0,0,0,0
Burnet,Precinct 5,COUNTY TAX ASSESSOR-COLLECTOR,,,Under Votes,25,124,47,196
Burnet,Precinct 6,COUNTY TAX ASSESSOR-COLLECTOR,,,DeAnne Fisher,1,15,0,16
Burnet,Precinct 6,COUNTY TAX ASSESSOR-COLLECTOR,,,Over Votes,0,0,0,0
Burnet,Precinct 6,COUNTY TAX ASSESSOR-COLLECTOR,,,Under Votes,0,3,1,4
Burnet,Precinct 6 - MFISD,COUNTY TAX ASSESSOR-COLLECTOR,,,DeAnne Fisher,12,289,121,422
Burnet,Precinct 6 - MFISD,COUNTY TAX ASSESSOR-COLLECTOR,,,Over Votes,0,0,0,0
Burnet,Precinct 6 - MFISD,COUNTY TAX ASSESSOR-COLLECTOR,,,Under Votes,8,61,27,96
Burnet,Precinct 7,COUNTY TAX ASSESSOR-COLLECTOR,,,DeAnne Fisher,29,321,105,455
Burnet,Precinct 7,COUNTY TAX ASSESSOR-COLLECTOR,,,Over Votes,0,0,0,0
Burnet,Precinct 7,COUNTY TAX ASSESSOR-COLLECTOR,,,Under Votes,8,63,21,92
Burnet,Precinct 8,COUNTY TAX ASSESSOR-COLLECTOR,,,DeAnne Fisher,42,761,184,987
Burnet,Precinct 8,COUNTY TAX ASSESSOR-COLLECTOR,,,Over Votes,0,0,0,0
Burnet,Precinct 8,COUNTY TAX ASSESSOR-COLLECTOR,,,Under Votes,14,111,26,151
Burnet,Precinct 9,COUNTY TAX ASSESSOR-COLLECTOR,,,DeAnne Fisher,11,116,24,151
Burnet,Precinct 9,COUNTY TAX ASSESSOR-COLLECTOR,,,Over Votes,0,0,0,0
Burnet,Precinct 9,COUNTY TAX ASSESSOR-COLLECTOR,,,Under Votes,2,19,4,25
Burnet,Precinct 9 - MFISD,COUNTY TAX ASSESSOR-COLLECTOR,,,DeAnne Fisher,77,1458,242,1777
Burnet,Precinct 9 - MFISD,COUNTY TAX ASSESSOR-COLLECTOR,,,Over Votes,0,0,0,0
Burnet,Precinct 9 - MFISD,COUNTY TAX ASSESSOR-COLLECTOR,,,Under Votes,35,246,56,337
Burnet,Precinct 10,COUNTY TAX ASSESSOR-COLLECTOR,,,DeAnne Fisher,40,1087,130,1257
Burnet,Precinct 10,COUNTY TAX ASSESSOR-COLLECTOR,,,Over Votes,0,0,0,0
Burnet,Precinct 10,COUNTY TAX ASSESSOR-COLLECTOR,,,Under Votes,27,191,25,243
Burnet,Precinct 11,COUNTY TAX ASSESSOR-COLLECTOR,,,DeAnne Fisher,13,354,138,505
Burnet,Precinct 11,COUNTY TAX ASSESSOR-COLLECTOR,,,Over Votes,0,0,0,0
Burnet,Precinct 11,COUNTY TAX ASSESSOR-COLLECTOR,,,Under Votes,8,43,26,77
Burnet,Precinct 12,COUNTY TAX ASSESSOR-COLLECTOR,,,DeAnne Fisher,43,1164,202,1409
Burnet,Precinct 12,COUNTY TAX ASSESSOR-COLLECTOR,,,Over Votes,0,0,0,0
Burnet,Precinct 12,COUNTY TAX ASSESSOR-COLLECTOR,,,Under Votes,21,229,59,309
Burnet,Precinct 13,COUNTY TAX ASSESSOR-COLLECTOR,,,DeAnne Fisher,26,659,168,853
Burnet,Precinct 13,COUNTY TAX ASSESSOR-COLLECTOR,,,Over Votes,0,0,0,0
Burnet,Precinct 13,COUNTY TAX ASSESSOR-COLLECTOR,,,Under Votes,3,135,43,181
Burnet,Precinct 14,COUNTY TAX ASSESSOR-COLLECTOR,,,DeAnne Fisher,8,368,93,469
Burnet,Precinct 14,COUNTY TAX ASSESSOR-COLLECTOR,,,Over Votes,0,0,0,0
Burnet,Precinct 14,COUNTY TAX ASSESSOR-COLLECTOR,,,Under Votes,7,48,24,79
Burnet,Precinct 15,COUNTY TAX ASSESSOR-COLLECTOR,,,DeAnne Fisher,26,415,254,695
Burnet,Precinct 15,COUNTY TAX ASSESSOR-COLLECTOR,,,Over Votes,0,0,0,0
Burnet,Precinct 15,COUNTY TAX ASSESSOR-COLLECTOR,,,Under Votes,9,73,50,132
Burnet,Precinct 16,COUNTY TAX ASSESSOR-COLLECTOR,,,DeAnne Fisher,16,240,203,459
Burnet,Precinct 16,COUNTY TAX ASSESSOR-COLLECTOR,,,Over Votes,0,0,0,0
Burnet,Precinct 16,COUNTY TAX ASSESSOR-COLLECTOR,,,Under Votes,5,41,32,78
Burnet,Precinct 17,COUNTY TAX ASSESSOR-COLLECTOR,,,DeAnne Fisher,75,1413,200,1688
Burnet,Precinct 17,COUNTY TAX ASSESSOR-COLLECTOR,,,Over Votes,0,0,0,0
Burnet,Precinct 17,COUNTY TAX ASSESSOR-COLLECTOR,,,Under Votes,25,232,40,297
Burnet,Precinct 18,COUNTY TAX ASSESSOR-COLLECTOR,,,DeAnne Fisher,29,608,95,732
Burnet,Precinct 18,COUNTY TAX ASSESSOR-COLLECTOR,,,Over Votes,0,0,0,0
Burnet,Precinct 18,COUNTY TAX ASSESSOR-COLLECTOR,,,Under Votes,21,179,33,233
Burnet,Precinct 19,COUNTY TAX ASSESSOR-COLLECTOR,,,DeAnne Fisher,161,2205,365,2731
Burnet,Precinct 19,COUNTY TAX ASSESSOR-COLLECTOR,,,Over Votes,0,0,0,0
Burnet,Precinct 19,COUNTY TAX ASSESSOR-COLLECTOR,,,Under Votes,86,558,71,715
Burnet,Precinct 20,COUNTY TAX ASSESSOR-COLLECTOR,,,DeAnne Fisher,0,15,1,16
Burnet,Precinct 20,COUNTY TAX ASSESSOR-COLLECTOR,,,Over Votes,0,0,0,0
Burnet,Precinct 20,COUNTY TAX ASSESSOR-COLLECTOR,,,Under Votes,0,4,0,4
Burnet,Precinct 20 - MFISD,COUNTY TAX ASSESSOR-COLLECTOR,,,DeAnne Fisher,97,1666,374,2137
Burnet,Precinct 20 - MFISD,COUNTY TAX ASSESSOR-COLLECTOR,,,Over Votes,0,0,0,0
Burnet,Precinct 20 - MFISD,COUNTY TAX ASSESSOR-COLLECTOR,,,Under Votes,81,445,105,631
Burnet,Precinct 1,"DISTRICT ATTORNEY, 33RD JUDICIAL DISTRICT",,,Perry Thomas,44,890,113,1047
Burnet,Precinct 1,"DISTRICT ATTORNEY, 33RD JUDICIAL DISTRICT",,,Over Votes,0,0,0,0
Burnet,Precinct 1,"DISTRICT ATTORNEY, 33RD JUDICIAL DISTRICT",,,Under Votes,163,153,33,349
Burnet,Precinct 2,"DISTRICT ATTORNEY, 33RD JUDICIAL DISTRICT",,,Perry Thomas,130,1563,238,1931
Burnet,Precinct 2,"DISTRICT ATTORNEY, 33RD JUDICIAL DISTRICT",,,Over Votes,0,0,0,0
Burnet,Precinct 2,"DISTRICT ATTORNEY, 33RD JUDICIAL DISTRICT",,,Under Votes,65,341,64,470
Burnet,Precinct 3,"DISTRICT ATTORNEY, 33RD JUDICIAL DISTRICT",,,Perry Thomas,21,517,163,701
Burnet,Precinct 3,"DISTRICT ATTORNEY, 33RD JUDICIAL DISTRICT",,,Over Votes,0,0,0,0
Burnet,Precinct 3,"DISTRICT ATTORNEY, 33RD JUDICIAL DISTRICT",,,Under Votes,14,144,67,225
Burnet,Precinct 4,"DISTRICT ATTORNEY, 33RD JUDICIAL DISTRICT",,,Perry Thomas,58,1403,352,1813
Burnet,Precinct 4,"DISTRICT ATTORNEY, 33RD JUDICIAL DISTRICT",,,Over Votes,0,0,0,0
Burnet,Precinct 4,"DISTRICT ATTORNEY, 33RD JUDICIAL DISTRICT",,,Under Votes,60,365,82,507
