county,precinct,office,district,candidate,party,votes,election_day,early_voting,absentee
Guadalupe,102 SEG6 SISD,COUNTY TAX ASSESSOR-COLLECTOR,,Jesus Trinidad Jr.,Dem,367,72,276,19
Guadalupe,102 SEG6 SISD,COUNTY TAX ASSESSOR-COLLECTOR,,Over Votes,,0,0,0,0
Guadalupe,102 SEG6 SISD,COUNTY TAX ASSESSOR-COLLECTOR,,Under Votes,,108,17,90,1
Guadalupe,102 SEG6 SISD,"COUNTY COMMISSIONER, PRECINCT NO. 1",,"Jacqueline ""Jackie"" Ott",Rep,905,155,723,27
Guadalupe,102 SEG6 SISD,"COUNTY COMMISSIONER, PRECINCT NO. 1",,Nahomie Alanis,Dem,334,59,256,19
Guadalupe,102 SEG6 SISD,"COUNTY COMMISSIONER, PRECINCT NO. 1",,Nolan Schmidt,Lib,67,17,48,2
Guadalupe,102 SEG6 SISD,"COUNTY COMMISSIONER, PRECINCT NO. 1",,Over Votes,,0,0,0,0
Guadalupe,102 SEG6 SISD,"COUNTY COMMISSIONER, PRECINCT NO. 1",,Under Votes,,114,26,87,1
Guadalupe,102 SEG6 SISD,"CONSTABLE, PRECINCT NO. 1",,James Springer,Rep,1062,195,831,36
Guadalupe,102 SEG6 SISD,"CONSTABLE, PRECINCT NO. 1",,Over Votes,,0,0,0,0
Guadalupe,102 SEG6 SISD,"CONSTABLE, PRECINCT NO. 1",,Under Votes,,358,62,283,13
Guadalupe,102 SEG6 SISD,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 2",,Velia J. Meza,Dem,668,129,512,27
Guadalupe,102 SEG6 SISD,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 2",,Over Votes,,0,0,0,0
Guadalupe,102 SEG6 SISD,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 2",,Under Votes,,752,128,602,22
Guadalupe,103 SISD,Registered Voters,,,,800,,,
Guadalupe,103 SISD,Ballots Cast,,,,532,86,428,18
Guadalupe,103 SISD,PRESIDENT,,Donald J. Trump,Rep,371,62,299,10
Guadalupe,103 SISD,PRESIDENT,,Kamala D. Harris,Dem,148,22,118,8
Guadalupe,103 SISD,PRESIDENT,,Chase Oliver,Lib,6,1,5,0
Guadalupe,103 SISD,PRESIDENT,,Jill Stein,Gre,5,1,4,0
Guadalupe,103 SISD,PRESIDENT,,Write-ins,,1,0,1,0
Guadalupe,103 SISD,PRESIDENT,,Over Votes,,0,0,0,0
Guadalupe,103 SISD,PRESIDENT,,Under Votes,,1,0,1,0
Guadalupe,103 SISD,U.S. Senate,,Ted Cruz,Rep,351,53,288,10
Guadalupe,103 SISD,U.S. Senate,,Collin Allred,Dem,150,24,118,8
Guadalupe,103 SISD,U.S. Senate,,Ted Brown,Lib,21,7,14,0
Guadalupe,103 SISD,U.S. Senate,,Write-ins,,0,0,0,0
Guadalupe,103 SISD,U.S. Senate,,Over Votes,,0,0,0,0
Guadalupe,103 SISD,U.S. Senate,,Under Votes,,10,2,8,0
Guadalupe,103 SISD,U.S. House,15,Monica De La Cruz,Rep,381,63,308,10
Guadalupe,103 SISD,U.S. House,15,Michelle Vallejo,Dem,132,19,105,8
Guadalupe,103 SISD,U.S. House,15,Over Votes,,0,0,0,0
Guadalupe,103 SISD,U.S. House,15,Under Votes,,19,4,15,0
Guadalupe,103 SISD,RAILROAD COMMISSIONER,,Christi Craddick,Rep,351,55,285,11
Guadalupe,103 SISD,RAILROAD COMMISSIONER,,Katherine Culbert,Dem,120,20,95,5
Guadalupe,103 SISD,RAILROAD COMMISSIONER,,Hawk Dunlap,Lib,20,4,16,0
Guadalupe,103 SISD,RAILROAD COMMISSIONER,,Eddie Espinoza,Gre,10,2,7,1
Guadalupe,103 SISD,RAILROAD COMMISSIONER,,Write-ins,,1,0,1,0
Guadalupe,103 SISD,RAILROAD COMMISSIONER,,Over Votes,,0,0,0,0
Guadalupe,103 SISD,RAILROAD COMMISSIONER,,Under Votes,,30,5,24,1
Guadalupe,103 SISD,"JUSTICE, SUPREME COURT, PLACE 2",,Jimmy Blacklock,Rep,376,62,303,11
Guadalupe,103 SISD,"JUSTICE, SUPREME COURT, PLACE 2",,DeSean Jones,Dem,128,20,102,6
Guadalupe,103 SISD,"JUSTICE, SUPREME COURT, PLACE 2",,Over Votes,,0,0,0,0
Guadalupe,103 SISD,"JUSTICE, SUPREME COURT, PLACE 2",,Under Votes,,28,4,23,1
Guadalupe,103 SISD,"JUSTICE, SUPREME COURT, PLACE 4",,John Devine,Rep,368,59,298,11
Guadalupe,103 SISD,"JUSTICE, SUPREME COURT, PLACE 4",,Christine Vinh Weems,Dem,132,22,104,6
Guadalupe,103 SISD,"JUSTICE, SUPREME COURT, PLACE 4",,Over Votes,,0,0,0,0
Guadalupe,103 SISD,"JUSTICE, SUPREME COURT, PLACE 4",,Under Votes,,32,5,26,1
Guadalupe,103 SISD,"JUSTICE, SUPREME COURT, PLACE 6",,Jane Bland,Rep,351,57,283,11
Guadalupe,103 SISD,"JUSTICE, SUPREME COURT, PLACE 6",,Bonnie Lee Goldstein,Dem,122,19,97,6
Guadalupe,103 SISD,"JUSTICE, SUPREME COURT, PLACE 6",,J. David Roberson,Lib,25,6,19,0
Guadalupe,103 SISD,"JUSTICE, SUPREME COURT, PLACE 6",,Over Votes,,0,0,0,0
Guadalupe,103 SISD,"JUSTICE, SUPREME COURT, PLACE 6",,Under Votes,,34,4,29,1
Guadalupe,103 SISD,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS",,David J. Schenck,Rep,369,60,298,11
Guadalupe,103 SISD,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS",,Holly Taylor,Dem,128,22,100,6
Guadalupe,103 SISD,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS",,Over Votes,,0,0,0,0
Guadalupe,103 SISD,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS",,Under Votes,,35,4,30,1
Guadalupe,103 SISD,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 7",,Gina Parker,Rep,366,61,294,11
Guadalupe,103 SISD,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 7",,Nancy Mulder,Dem,131,21,104,6
Guadalupe,103 SISD,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 7",,Over Votes,,0,0,0,0
Guadalupe,103 SISD,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 7",,Under Votes,,35,4,30,1
Guadalupe,103 SISD,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 8",,Lee Finley,Rep,374,62,301,11
Guadalupe,103 SISD,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 8",,Chika Anyiam,Dem,121,20,95,6
Guadalupe,103 SISD,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 8",,Over Votes,,0,0,0,0
Guadalupe,103 SISD,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 8",,Under Votes,,37,4,32,1
Guadalupe,103 SISD,State House,44,Alan Schoolcraft,Rep,340,58,272,10
Guadalupe,103 SISD,State House,44,Eric Norman,Dem,155,24,124,7
Guadalupe,103 SISD,State House,44,Over Votes,,0,0,0,0
Guadalupe,103 SISD,State House,44,Under Votes,,37,4,32,1
Guadalupe,103 SISD,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 3",,Todd McCray,Rep,365,57,297,11
Guadalupe,103 SISD,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 3",,Cynthia Marie Chapa,Dem,134,24,104,6
Guadalupe,103 SISD,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 3",,Over Votes,,0,0,0,0
Guadalupe,103 SISD,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 3",,Under Votes,,33,5,27,1
Guadalupe,103 SISD,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 4",,Lori Massey Brissette,Rep,366,60,296,10
Guadalupe,103 SISD,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 4",,Luz Elena Chapa,Dem,130,20,103,7
Guadalupe,103 SISD,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 4",,Over Votes,,0,0,0,0
Guadalupe,103 SISD,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 4",,Under Votes,,36,6,29,1
Guadalupe,103 SISD,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 5",,Adrian Spears,Rep,359,57,291,11
Guadalupe,103 SISD,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 5",,Liza A. Rodriguez,Dem,137,24,107,6
Guadalupe,103 SISD,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 5",,Over Votes,,0,0,0,0
Guadalupe,103 SISD,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 5",,Under Votes,,36,5,30,1
Guadalupe,103 SISD,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 7",,Lori I. Valenzuela,Rep,419,71,334,14
Guadalupe,103 SISD,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 7",,Over Votes,,0,0,0,0
Guadalupe,103 SISD,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 7",,Under Votes,,113,15,94,4
Guadalupe,103 SISD,"DISTRICT JUDGE, 25TH JUDICIAL DISTRICT",,Bill Old,Rep,420,69,337,14
Guadalupe,103 SISD,"DISTRICT JUDGE, 25TH JUDICIAL DISTRICT",,Over Votes,,0,0,0,0
Guadalupe,103 SISD,"DISTRICT JUDGE, 25TH JUDICIAL DISTRICT",,Under Votes,,112,17,91,4
Guadalupe,103 SISD,"DISTRICT JUDGE, 2ND 25TH JUDICIAL DISTRICT",,Jessica Richard Crawford,Rep,413,70,329,14
Guadalupe,103 SISD,"DISTRICT JUDGE, 2ND 25TH JUDICIAL DISTRICT",,Over Votes,,0,0,0,0
Guadalupe,103 SISD,"DISTRICT JUDGE, 2ND 25TH JUDICIAL DISTRICT",,Under Votes,,119,16,99,4
Guadalupe,103 SISD,COUNTY ATTORNEY,,David Willborn,Rep,417,70,333,14
Guadalupe,103 SISD,COUNTY ATTORNEY,,Over Votes,,0,0,0,0
Guadalupe,103 SISD,COUNTY ATTORNEY,,Under Votes,,115,16,95,4
Guadalupe,103 SISD,SHERIFF,,Joshua Ray,Rep,422,72,336,14
Guadalupe,103 SISD,SHERIFF,,Over Votes,,0,0,0,0
Guadalupe,103 SISD,SHERIFF,,Under Votes,,110,14,92,4
Guadalupe,103 SISD,COUNTY TAX ASSESSOR-COLLECTOR,,Daryl W. John,Rep,376,60,304,12
Guadalupe,103 SISD,COUNTY TAX ASSESSOR-COLLECTOR,,Jesus Trinidad Jr.,Dem,122,21,96,5
Guadalupe,103 SISD,COUNTY TAX ASSESSOR-COLLECTOR,,Over Votes,,0,0,0,0
Guadalupe,103 SISD,COUNTY TAX ASSESSOR-COLLECTOR,,Under Votes,,34,5,28,1
Guadalupe,103 SISD,"COUNTY COMMISSIONER, PRECINCT NO. 1",,"Jacqueline ""Jackie"" Ott",Rep,340,58,270,12
Guadalupe,103 SISD,"COUNTY COMMISSIONER, PRECINCT NO. 1",,Nahomie Alanis,Dem,115,17,93,5
Guadalupe,103 SISD,"COUNTY COMMISSIONER, PRECINCT NO. 1",,Nolan Schmidt,Lib,40,8,32,0
Guadalupe,103 SISD,"COUNTY COMMISSIONER, PRECINCT NO. 1",,Over Votes,,0,0,0,0
Guadalupe,103 SISD,"COUNTY COMMISSIONER, PRECINCT NO. 1",,Under Votes,,37,3,33,1
Guadalupe,103 SISD,"CONSTABLE, PRECINCT NO. 1",,James Springer,Rep,424,72,338,14
Guadalupe,103 SISD,"CONSTABLE, PRECINCT NO. 1",,Over Votes,,0,0,0,0
Guadalupe,103 SISD,"CONSTABLE, PRECINCT NO. 1",,Under Votes,,108,14,90,4
Guadalupe,103 SISD,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 2",,Velia J. Meza,Dem,250,48,191,11
Guadalupe,103 SISD,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 2",,Over Votes,,0,0,0,0
Guadalupe,103 SISD,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 2",,Under Votes,,282,38,237,7
Guadalupe,104,Registered Voters,,,,1047,,,
Guadalupe,104,Ballots Cast,,,,549,80,432,37
Guadalupe,104,PRESIDENT,,Donald J. Trump,Rep,308,33,253,22
Guadalupe,104,PRESIDENT,,Kamala D. Harris,Dem,233,43,175,15
Guadalupe,104,PRESIDENT,,Chase Oliver,Lib,7,4,3,0
Guadalupe,104,PRESIDENT,,Jill Stein,Gre,0,0,0,0
Guadalupe,104,PRESIDENT,,Write-ins,,0,0,0,0
Guadalupe,104,PRESIDENT,,Over Votes,,0,0,0,0
Guadalupe,104,PRESIDENT,,Under Votes,,1,0,1,0
Guadalupe,104,U.S. Senate,,Ted Cruz,Rep,287,28,238,21
Guadalupe,104,U.S. Senate,,Collin Allred,Dem,243,47,180,16
Guadalupe,104,U.S. Senate,,Ted Brown,Lib,11,4,7,0
Guadalupe,104,U.S. Senate,,Write-ins,,0,0,0,0
Guadalupe,104,U.S. Senate,,Over Votes,,0,0,0,0
Guadalupe,104,U.S. Senate,,Under Votes,,8,1,7,0
Guadalupe,104,U.S. House,15,Monica De La Cruz,Rep,308,37,251,20
Guadalupe,104,U.S. House,15,Michelle Vallejo,Dem,222,42,163,17
Guadalupe,104,U.S. House,15,Over Votes,,0,0,0,0
Guadalupe,104,U.S. House,15,Under Votes,,19,1,18,0
Guadalupe,104,RAILROAD COMMISSIONER,,Christi Craddick,Rep,290,30,241,19
Guadalupe,104,RAILROAD COMMISSIONER,,Katherine Culbert,Dem,192,38,141,13
Guadalupe,104,RAILROAD COMMISSIONER,,Hawk Dunlap,Lib,19,5,14,0
Guadalupe,104,RAILROAD COMMISSIONER,,Eddie Espinoza,Gre,24,5,15,4
Guadalupe,104,RAILROAD COMMISSIONER,,Write-ins,,0,0,0,0
Guadalupe,104,RAILROAD COMMISSIONER,,Over Votes,,0,0,0,0
Guadalupe,104,RAILROAD COMMISSIONER,,Under Votes,,24,2,21,1
Guadalupe,104,"JUSTICE, SUPREME COURT, PLACE 2",,Jimmy Blacklock,Rep,314,34,257,23
Guadalupe,104,"JUSTICE, SUPREME COURT, PLACE 2",,DeSean Jones,Dem,214,44,156,14
Guadalupe,104,"JUSTICE, SUPREME COURT, PLACE 2",,Over Votes,,0,0,0,0
Guadalupe,104,"JUSTICE, SUPREME COURT, PLACE 2",,Under Votes,,21,2,19,0
Guadalupe,104,"JUSTICE, SUPREME COURT, PLACE 4",,John Devine,Rep,301,31,249,21
Guadalupe,104,"JUSTICE, SUPREME COURT, PLACE 4",,Christine Vinh Weems,Dem,221,44,161,16
Guadalupe,104,"JUSTICE, SUPREME COURT, PLACE 4",,Over Votes,,0,0,0,0
Guadalupe,104,"JUSTICE, SUPREME COURT, PLACE 4",,Under Votes,,27,5,22,0
Guadalupe,104,"JUSTICE, SUPREME COURT, PLACE 6",,Jane Bland,Rep,294,33,242,19
Guadalupe,104,"JUSTICE, SUPREME COURT, PLACE 6",,Bonnie Lee Goldstein,Dem,201,39,147,15
Guadalupe,104,"JUSTICE, SUPREME COURT, PLACE 6",,J. David Roberson,Lib,32,6,23,3
Guadalupe,104,"JUSTICE, SUPREME COURT, PLACE 6",,Over Votes,,0,0,0,0
Guadalupe,104,"JUSTICE, SUPREME COURT, PLACE 6",,Under Votes,,22,2,20,0
Guadalupe,104,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS",,David J. Schenck,Rep,309,34,254,21
Guadalupe,104,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS",,Holly Taylor,Dem,217,44,157,16
Guadalupe,104,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS",,Over Votes,,0,0,0,0
Guadalupe,104,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS",,Under Votes,,23,2,21,0
Guadalupe,104,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 7",,Gina Parker,Rep,308,35,254,19
Guadalupe,104,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 7",,Nancy Mulder,Dem,219,43,159,17
Guadalupe,104,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 7",,Over Votes,,0,0,0,0
Guadalupe,104,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 7",,Under Votes,,22,2,19,1
Guadalupe,104,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 8",,Lee Finley,Rep,320,35,262,23
Guadalupe,104,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 8",,Chika Anyiam,Dem,203,41,149,13
Guadalupe,104,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 8",,Over Votes,,0,0,0,0
Guadalupe,104,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 8",,Under Votes,,26,4,21,1
Guadalupe,104,State House,44,Alan Schoolcraft,Rep,277,32,224,21
Guadalupe,104,State House,44,Eric Norman,Dem,240,44,181,15
Guadalupe,104,State House,44,Over Votes,,0,0,0,0
Guadalupe,104,State House,44,Under Votes,,32,4,27,1
Guadalupe,104,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 3",,Todd McCray,Rep,299,35,243,21
Guadalupe,104,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 3",,Cynthia Marie Chapa,Dem,213,41,158,14
Guadalupe,104,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 3",,Over Votes,,0,0,0,0
Guadalupe,104,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 3",,Under Votes,,37,4,31,2
Guadalupe,104,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 4",,Lori Massey Brissette,Rep,298,31,247,20
Guadalupe,104,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 4",,Luz Elena Chapa,Dem,216,46,155,15
Guadalupe,104,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 4",,Over Votes,,0,0,0,0
