id,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
153,Precinct 2,"Presiding Judge, Ct of Crim App",,REP,David J. Schenck,299,16,198,85
154,Precinct 2,"Presiding Judge, Ct of Crim App",,DEM,Holly Taylor,798,56,538,204
155,Precinct 2,"Presiding Judge, Ct of Crim App",,,Over Votes,0,0,0,0
156,Precinct 2,"Presiding Judge, Ct of Crim App",,,Under Votes,80,1,46,33
158,Precinct 2,"Judge, Ct of Crim App, Pl 7",,REP,Gina Parker,319,13,213,93
159,Precinct 2,"Judge, Ct of Crim App, Pl 7",,DEM,Nancy Mulder,783,59,525,199
160,Precinct 2,"Judge, Ct of Crim App, Pl 7",,,Over Votes,0,0,0,0
161,Precinct 2,"Judge, Ct of Crim App, Pl 7",,,Under Votes,75,1,44,30
163,Precinct 2,"Judge, Ct of Crim App, Pl 8",,REP,Lee Finley,326,15,218,93
164,Precinct 2,"Judge, Ct of Crim App, Pl 8",,DEM,Chika Anyiam,767,55,516,196
165,Precinct 2,"Judge, Ct of Crim App, Pl 8",,,Over Votes,0,0,0,0
166,Precinct 2,"Judge, Ct of Crim App, Pl 8",,,Under Votes,84,3,48,33
168,Precinct 2,State Representative,9,REP,Trent Ashby,594,22,410,162
169,Precinct 2,State Representative,9,,Over Votes,0,0,0,0
170,Precinct 2,State Representative,9,,Under Votes,583,51,372,160
173,Precinct 2,"Justice, 12th Ct of App Dist, Pl 3",,REP,Greg Neeley,555,19,383,153
174,Precinct 2,"Justice, 12th Ct of App Dist, Pl 3",,,Over Votes,0,0,0,0
175,Precinct 2,"Justice, 12th Ct of App Dist, Pl 3",,,Under Votes,622,54,399,169
177,Precinct 2,"Dist Attorney, 159th Judicial Dist",,REP,Layne Allen Thompson,557,18,381,158
178,Precinct 2,"Dist Attorney, 159th Judicial Dist",,,Over Votes,0,0,0,0
179,Precinct 2,"Dist Attorney, 159th Judicial Dist",,,Under Votes,620,55,401,164
181,Precinct 2,County Attorney,,REP,James M. Yakovsky,546,17,374,155
182,Precinct 2,County Attorney,,,Over Votes,0,0,0,0
183,Precinct 2,County Attorney,,,Under Votes,631,56,408,167
185,Precinct 2,District Clerk - Unexpired Term,,REP,Meagan Moore,563,20,382,161
186,Precinct 2,District Clerk - Unexpired Term,,,Over Votes,0,0,0,0
187,Precinct 2,District Clerk - Unexpired Term,,,Under Votes,614,53,400,161
189,Precinct 2,Sheriff,,REP,Tom Selman,589,25,402,162
190,Precinct 2,Sheriff,,,Over Votes,0,0,0,0
191,Precinct 2,Sheriff,,,Under Votes,588,48,380,160
194,Precinct 2,County Tax Assessor-Collector,,REP,Billie Page,596,25,411,160
195,Precinct 2,County Tax Assessor-Collector,,,Over Votes,0,0,0,0
196,Precinct 2,County Tax Assessor-Collector,,,Under Votes,581,48,371,162
198,Precinct 2,Constable Pct 1,,REP,Ray Berry,602,20,408,174
199,Precinct 2,Constable Pct 1,,,Over Votes,0,0,0,0
200,Precinct 2,Constable Pct 1,,,Under Votes,575,53,374,148
202,Precinct 3,Registered Voters,,,,2175,,,
203,Precinct 3,Ballots Cast,,,,1289,31,900,358
205,Precinct 3,President,,REP,Donald J. Trump/JD Vance,1066,25,753,288
206,Precinct 3,President,,DEM,Kamala D. Harris/Tim Walz,214,6,141,67
207,Precinct 3,President,,LIB,Chase Oliver/Mike ter Maat,2,0,2,0
208,Precinct 3,President,,GRN,Jill Stein/Rudolph Ware,0,0,0,0
209,Precinct 3,President,,,Write-ins,4,0,3,1
210,Precinct 3,President,,,Over Votes,0,0,0,0
211,Precinct 3,President,,,Under Votes,3,0,1,2
213,Precinct 3,U.S. Senate,,REP,Ted Cruz,1008,25,719,264
214,Precinct 3,U.S. Senate,,DEM,Colin Allred,217,6,143,68
215,Precinct 3,U.S. Senate,,LIB,Ted Brown,37,0,25,12
216,Precinct 3,U.S. Senate,,,Write-ins,2,0,1,1
217,Precinct 3,U.S. Senate,,,Over Votes,0,0,0,0
218,Precinct 3,U.S. Senate,,,Under Votes,25,0,12,13
220,Precinct 3,U.S. House,17,REP,Pete Sessions,1054,25,749,280
221,Precinct 3,U.S. House,17,DEM,Mark Lorenzen,188,6,125,57
222,Precinct 3,U.S. House,17,,Over Votes,0,0,0,0
223,Precinct 3,U.S. House,17,,Under Votes,47,0,26,21
226,Precinct 3,Railroad Commissioner,,REP,Christi Craddick,1015,22,729,264
227,Precinct 3,Railroad Commissioner,,DEM,Katherine Culbert,177,6,120,51
228,Precinct 3,Railroad Commissioner,,LIB,Hawk Dunlap,28,1,17,10
229,Precinct 3,Railroad Commissioner,,GRN,Eddie Espinoza,19,0,8,11
230,Precinct 3,Railroad Commissioner,,,Write-ins,1,0,0,1
231,Precinct 3,Railroad Commissioner,,,Over Votes,0,0,0,0
232,Precinct 3,Railroad Commissioner,,,Under Votes,49,2,26,21
234,Precinct 3,"Justice, Supreme Court, Pl 2",,REP,Jimmy Blacklock,1046,23,746,277
235,Precinct 3,"Justice, Supreme Court, Pl 2",,DEM,DaSean Jones,187,6,126,55
236,Precinct 3,"Justice, Supreme Court, Pl 2",,,Over Votes,0,0,0,0
237,Precinct 3,"Justice, Supreme Court, Pl 2",,,Under Votes,56,2,28,26
239,Precinct 3,"Justice, Supreme Court, Pl 4",,REP,John Devine,1028,22,733,273
240,Precinct 3,"Justice, Supreme Court, Pl 4",,DEM,Christine Vinh Weems,198,6,133,59
241,Precinct 3,"Justice, Supreme Court, Pl 4",,,Over Votes,0,0,0,0
242,Precinct 3,"Justice, Supreme Court, Pl 4",,,Under Votes,63,3,34,26
244,Precinct 3,"Justice, Supreme Court, Pl 6",,REP,Jane Bland,1004,21,717,266
245,Precinct 3,"Justice, Supreme Court, Pl 6",,DEM,Bonnie Lee Goldstein,184,6,122,56
246,Precinct 3,"Justice, Supreme Court, Pl 6",,LIB,J. David Roberson,34,2,23,9
247,Precinct 3,"Justice, Supreme Court, Pl 6",,,Over Votes,0,0,0,0
248,Precinct 3,"Justice, Supreme Court, Pl 6",,,Under Votes,67,2,38,27
251,Precinct 3,"Presiding Judge, Ct of Crim App",,REP,David J. Schenck,1026,23,730,273
252,Precinct 3,"Presiding Judge, Ct of Crim App",,DEM,Holly Taylor,194,6,131,57
253,Precinct 3,"Presiding Judge, Ct of Crim App",,,Over Votes,0,0,0,0
254,Precinct 3,"Presiding Judge, Ct of Crim App",,,Under Votes,69,2,39,28
256,Precinct 3,"Judge, Ct of Crim App, Pl 7",,REP,Gina Parker,1026,21,735,270
257,Precinct 3,"Judge, Ct of Crim App, Pl 7",,DEM,Nancy Mulder,191,6,129,56
258,Precinct 3,"Judge, Ct of Crim App, Pl 7",,,Over Votes,0,0,0,0
259,Precinct 3,"Judge, Ct of Crim App, Pl 7",,,Under Votes,72,4,36,32
261,Precinct 3,"Judge, Ct of Crim App, Pl 8",,REP,Lee Finley,1029,22,735,272
262,Precinct 3,"Judge, Ct of Crim App, Pl 8",,DEM,Chika Anyiam,179,6,119,54
263,Precinct 3,"Judge, Ct of Crim App, Pl 8",,,Over Votes,0,0,0,0
264,Precinct 3,"Judge, Ct of Crim App, Pl 8",,,Under Votes,81,3,46,32
266,Precinct 3,State Representative,9,REP,Trent Ashby,1113,23,789,301
267,Precinct 3,State Representative,9,,Over Votes,0,0,0,0
268,Precinct 3,State Representative,9,,Under Votes,176,8,111,57
271,Precinct 3,"Justice, 12th Ct of App Dist, Pl 3",,REP,Greg Neeley,1082,22,769,291
272,Precinct 3,"Justice, 12th Ct of App Dist, Pl 3",,,Over Votes,0,0,0,0
273,Precinct 3,"Justice, 12th Ct of App Dist, Pl 3",,,Under Votes,207,9,131,67
275,Precinct 3,"Dist Attorney, 159th Judicial Dist",,REP,Layne Allen Thompson,1051,22,749,280
276,Precinct 3,"Dist Attorney, 159th Judicial Dist",,,Over Votes,0,0,0,0
277,Precinct 3,"Dist Attorney, 159th Judicial Dist",,,Under Votes,238,9,151,78
279,Precinct 3,County Attorney,,REP,James M. Yakovsky,1086,22,775,289
280,Precinct 3,County Attorney,,,Over Votes,0,0,0,0
281,Precinct 3,County Attorney,,,Under Votes,203,9,125,69
283,Precinct 3,District Clerk - Unexpired Term,,REP,Meagan Moore,1072,22,761,289
284,Precinct 3,District Clerk - Unexpired Term,,,Over Votes,0,0,0,0
285,Precinct 3,District Clerk - Unexpired Term,,,Under Votes,217,9,139,69
287,Precinct 3,Sheriff,,REP,Tom Selman,1109,23,787,299
288,Precinct 3,Sheriff,,,Over Votes,0,0,0,0
289,Precinct 3,Sheriff,,,Under Votes,180,8,113,59
292,Precinct 3,County Tax Assessor-Collector,,REP,Billie Page,1088,23,767,298
293,Precinct 3,County Tax Assessor-Collector,,,Over Votes,0,0,0,0
294,Precinct 3,County Tax Assessor-Collector,,,Under Votes,201,8,133,60
296,Precinct 3,County Commissioner Pct 3,,REP,Tom Berry,1127,23,801,303
297,Precinct 3,County Commissioner Pct 3,,,Over Votes,0,0,0,0
298,Precinct 3,County Commissioner Pct 3,,,Under Votes,162,8,99,55
300,Precinct 3,Constable Pct 1,,REP,Ray Berry,1017,22,725,270
301,Precinct 3,Constable Pct 1,,,Over Votes,0,0,0,0
302,Precinct 3,Constable Pct 1,,,Under Votes,272,9,175,88
304,Precinct 4,Registered Voters,,,,1641,,,
305,Precinct 4,Ballots Cast,,,,834,25,600,209
307,Precinct 4,President,,REP,Donald J. Trump/JD Vance,488,6,356,126
308,Precinct 4,President,,DEM,Kamala D. Harris/Tim Walz,333,18,235,80
309,Precinct 4,President,,LIB,Chase Oliver/Mike ter Maat,5,1,3,1
310,Precinct 4,President,,GRN,Jill Stein/Rudolph Ware,1,0,1,0
311,Precinct 4,President,,,Write-ins,5,0,3,2
312,Precinct 4,President,,,Over Votes,0,0,0,0
313,Precinct 4,President,,,Under Votes,2,0,2,0
315,Precinct 4,U.S. Senate,,REP,Ted Cruz,464,5,343,116
316,Precinct 4,U.S. Senate,,DEM,Colin Allred,320,16,228,76
317,Precinct 4,U.S. Senate,,LIB,Ted Brown,33,4,19,10
318,Precinct 4,U.S. Senate,,,Write-ins,0,0,0,0
319,Precinct 4,U.S. Senate,,,Over Votes,0,0,0,0
320,Precinct 4,U.S. Senate,,,Under Votes,17,0,10,7
322,Precinct 4,U.S. House,17,REP,Pete Sessions,489,6,356,127
323,Precinct 4,U.S. House,17,DEM,Mark Lorenzen,306,19,218,69
324,Precinct 4,U.S. House,17,,Over Votes,0,0,0,0
325,Precinct 4,U.S. House,17,,Under Votes,39,0,26,13
328,Precinct 4,Railroad Commissioner,,REP,Christi Craddick,472,6,345,121
329,Precinct 4,Railroad Commissioner,,DEM,Katherine Culbert,283,16,204,63
330,Precinct 4,Railroad Commissioner,,LIB,Hawk Dunlap,18,1,15,2
331,Precinct 4,Railroad Commissioner,,GRN,Eddie Espinoza,19,2,8,9
332,Precinct 4,Railroad Commissioner,,,Write-ins,0,0,0,0
333,Precinct 4,Railroad Commissioner,,,Over Votes,0,0,0,0
334,Precinct 4,Railroad Commissioner,,,Under Votes,42,0,28,14
336,Precinct 4,"Justice, Supreme Court, Pl 2",,REP,Jimmy Blacklock,483,6,353,124
337,Precinct 4,"Justice, Supreme Court, Pl 2",,DEM,DaSean Jones,305,19,216,70
338,Precinct 4,"Justice, Supreme Court, Pl 2",,,Over Votes,0,0,0,0
339,Precinct 4,"Justice, Supreme Court, Pl 2",,,Under Votes,46,0,31,15
341,Precinct 4,"Justice, Supreme Court, Pl 4",,REP,John Devine,479,6,349,124
342,Precinct 4,"Justice, Supreme Court, Pl 4",,DEM,Christine Vinh Weems,312,19,222,71
343,Precinct 4,"Justice, Supreme Court, Pl 4",,,Over Votes,0,0,0,0
344,Precinct 4,"Justice, Supreme Court, Pl 4",,,Under Votes,43,0,29,14
346,Precinct 4,"Justice, Supreme Court, Pl 6",,REP,Jane Bland,468,7,342,119
347,Precinct 4,"Justice, Supreme Court, Pl 6",,DEM,Bonnie Lee Goldstein,295,16,214,65
348,Precinct 4,"Justice, Supreme Court, Pl 6",,LIB,J. David Roberson,25,2,14,9
349,Precinct 4,"Justice, Supreme Court, Pl 6",,,Over Votes,0,0,0,0
350,Precinct 4,"Justice, Supreme Court, Pl 6",,,Under Votes,46,0,30,16
353,Precinct 4,"Presiding Judge, Ct of Crim App",,REP,David J. Schenck,472,6,342,124
354,Precinct 4,"Presiding Judge, Ct of Crim App",,DEM,Holly Taylor,318,19,228,71
355,Precinct 4,"Presiding Judge, Ct of Crim App",,,Over Votes,0,0,0,0
356,Precinct 4,"Presiding Judge, Ct of Crim App",,,Under Votes,44,0,30,14
358,Precinct 4,"Judge, Ct of Crim App, Pl 7",,REP,Gina Parker,479,6,344,129
359,Precinct 4,"Judge, Ct of Crim App, Pl 7",,DEM,Nancy Mulder,302,18,221,63
360,Precinct 4,"Judge, Ct of Crim App, Pl 7",,,Over Votes,0,0,0,0
361,Precinct 4,"Judge, Ct of Crim App, Pl 7",,,Under Votes,53,1,35,17
363,Precinct 4,"Judge, Ct of Crim App, Pl 8",,REP,Lee Finley,492,6,355,131
364,Precinct 4,"Judge, Ct of Crim App, Pl 8",,DEM,Chika Anyiam,290,18,211,61
365,Precinct 4,"Judge, Ct of Crim App, Pl 8",,,Over Votes,0,0,0,0
366,Precinct 4,"Judge, Ct of Crim App, Pl 8",,,Under Votes,52,1,34,17
368,Precinct 4,State Representative,9,REP,Trent Ashby,598,11,431,156
369,Precinct 4,State Representative,9,,Over Votes,0,0,0,0
370,Precinct 4,State Representative,9,,Under Votes,236,14,169,53
373,Precinct 4,"Justice, 12th Ct of App Dist, Pl 3",,REP,Greg Neeley,570,11,406,153
374,Precinct 4,"Justice, 12th Ct of App Dist, Pl 3",,,Over Votes,0,0,0,0
375,Precinct 4,"Justice, 12th Ct of App Dist, Pl 3",,,Under Votes,264,14,194,56
377,Precinct 4,"Dist Attorney, 159th Judicial Dist",,REP,Layne Allen Thompson,565,11,404,150
378,Precinct 4,"Dist Attorney, 159th Judicial Dist",,,Over Votes,0,0,0,0
379,Precinct 4,"Dist Attorney, 159th Judicial Dist",,,Under Votes,269,14,196,59
381,Precinct 4,County Attorney,,REP,James M. Yakovsky,561,11,400,150
382,Precinct 4,County Attorney,,,Over Votes,0,0,0,0
383,Precinct 4,County Attorney,,,Under Votes,273,14,200,59
385,Precinct 4,District Clerk - Unexpired Term,,REP,Meagan Moore,572,11,408,153
386,Precinct 4,District Clerk - Unexpired Term,,,Over Votes,0,0,0,0
387,Precinct 4,District Clerk - Unexpired Term,,,Under Votes,262,14,192,56
389,Precinct 4,Sheriff,,REP,Tom Selman,598,8,435,155
390,Precinct 4,Sheriff,,,Over Votes,0,0,0,0
391,Precinct 4,Sheriff,,,Under Votes,236,17,165,54
394,Precinct 4,County Tax Assessor-Collector,,REP,Billie Page,599,12,432,155
395,Precinct 4,County Tax Assessor-Collector,,,Over Votes,0,0,0,0
396,Precinct 4,County Tax Assessor-Collector,,,Under Votes,235,13,168,54
398,Precinct 4,Constable Pct 2,,REP,Trae Trevathan,608,12,438,158
399,Precinct 4,Constable Pct 2,,,Over Votes,0,0,0,0
400,Precinct 4,Constable Pct 2,,,Under Votes,226,13,162,51
402,Precinct 5,Registered Voters,,,,1894,,,
403,Precinct 5,Ballots Cast,,,,988,63,700,225
405,Precinct 5,President,,REP,Donald J. Trump/JD Vance,603,28,455,120
406,Precinct 5,President,,DEM,Kamala D. Harris/Tim Walz,372,34,240,98
407,Precinct 5,President,,LIB,Chase Oliver/Mike ter Maat,6,1,1,4
408,Precinct 5,President,,GRN,Jill Stein/Rudolph Ware,4,0,2,2
409,Precinct 5,President,,,Write-ins,1,0,1,0
410,Precinct 5,President,,,Over Votes,0,0,0,0
411,Precinct 5,President,,,Under Votes,2,0,1,1
413,Precinct 5,U.S. Senate,,REP,Ted Cruz,563,27,425,111
414,Precinct 5,U.S. Senate,,DEM,Colin Allred,374,34,240,100
415,Precinct 5,U.S. Senate,,LIB,Ted Brown,38,1,26,11
416,Precinct 5,U.S. Senate,,,Write-ins,1,1,0,0
417,Precinct 5,U.S. Senate,,,Over Votes,0,0,0,0
418,Precinct 5,U.S. Senate,,,Under Votes,12,0,9,3
420,Precinct 5,U.S. House,17,REP,Pete Sessions,603,32,447,124
421,Precinct 5,U.S. House,17,DEM,Mark Lorenzen,344,29,223,92
422,Precinct 5,U.S. House,17,,Over Votes,0,0,0,0
423,Precinct 5,U.S. House,17,,Under Votes,41,2,30,9
426,Precinct 5,Railroad Commissioner,,REP,Christi Craddick,570,31,423,116
427,Precinct 5,Railroad Commissioner,,DEM,Katherine Culbert,331,27,222,82
428,Precinct 5,Railroad Commissioner,,LIB,Hawk Dunlap,22,0,14,8
429,Precinct 5,Railroad Commissioner,,GRN,Eddie Espinoza,19,1,10,8
430,Precinct 5,Railroad Commissioner,,,Write-ins,1,1,0,0
431,Precinct 5,Railroad Commissioner,,,Over Votes,1,1,0,0
432,Precinct 5,Railroad Commissioner,,,Under Votes,44,2,31,11
434,Precinct 5,"Justice, Supreme Court, Pl 2",,REP,Jimmy Blacklock,605,32,447,126
435,Precinct 5,"Justice, Supreme Court, Pl 2",,DEM,DaSean Jones,344,28,227,89
436,Precinct 5,"Justice, Supreme Court, Pl 2",,,Over Votes,0,0,0,0
437,Precinct 5,"Justice, Supreme Court, Pl 2",,,Under Votes,39,3,26,10
439,Precinct 5,"Justice, Supreme Court, Pl 4",,REP,John Devine,585,29,436,120
440,Precinct 5,"Justice, Supreme Court, Pl 4",,DEM,Christine Vinh Weems,358,32,234,92
441,Precinct 5,"Justice, Supreme Court, Pl 4",,,Over Votes,0,0,0,0
442,Precinct 5,"Justice, Supreme Court, Pl 4",,,Under Votes,45,2,30,13
444,Precinct 5,"Justice, Supreme Court, Pl 6",,REP,Jane Bland,569,27,430,112
445,Precinct 5,"Justice, Supreme Court, Pl 6",,DEM,Bonnie Lee Goldstein,342,31,224,87
446,Precinct 5,"Justice, Supreme Court, Pl 6",,LIB,J. David Roberson,30,3,19,8
447,Precinct 5,"Justice, Supreme Court, Pl 6",,,Over Votes,0,0,0,0
448,Precinct 5,"Justice, Supreme Court, Pl 6",,,Under Votes,47,2,27,18
451,Precinct 5,"Presiding Judge, Ct of Crim App",,REP,David J. Schenck,586,29,442,115
452,Precinct 5,"Presiding Judge, Ct of Crim App",,DEM,Holly Taylor,350,32,225,93
453,Precinct 5,"Presiding Judge, Ct of Crim App",,,Over Votes,0,0,0,0
454,Precinct 5,"Presiding Judge, Ct of Crim App",,,Under Votes,52,2,33,17
