county,precinct,office,district,party,candidate,votes,absentee,early_voting,early_voting_provisional,election_day,election_day_provisional
Kaufman,7,Constable Pct 2,,REP,Jason Johnson,2838,43,2204,3,587,1
Kaufman,11,Constable Pct 2,,REP,Jason Johnson,977,21,812,0,144,0
Kaufman,13,Constable Pct 2,,REP,Jason Johnson,2000,18,1551,2,429,0
Kaufman,14,Constable Pct 2,,REP,Jason Johnson,2572,26,1913,0,633,0
Kaufman,25,Constable Pct 2,,REP,Jason Johnson,441,9,348,0,84,0
Kaufman,27,Constable Pct 2,,REP,Jason Johnson,2285,35,1896,0,354,0
Kaufman,32,Constable Pct 2,,REP,Jason Johnson,1318,23,1069,0,226,0
Kaufman,36,Constable Pct 2,,REP,Jason Johnson,1715,21,1391,3,300,0
Kaufman,5,Constable Pct 3,,REP,Matt Woodall,596,25,431,2,138,0
Kaufman,6,Constable Pct 3,,REP,Matt Woodall,1434,19,1052,0,363,0
Kaufman,8,Constable Pct 3,,REP,Matt Woodall,967,26,733,1,207,0
Kaufman,9,Constable Pct 3,,REP,Matt Woodall,1126,15,818,0,292,1
Kaufman,19,Constable Pct 3,,REP,Matt Woodall,1280,40,971,2,267,0
Kaufman,20,Constable Pct 3,,REP,Matt Woodall,830,15,650,0,164,1
Kaufman,24,Constable Pct 3,,REP,Matt Woodall,737,18,600,0,119,0
Kaufman,26,Constable Pct 3,,REP,Matt Woodall,468,12,300,1,155,0
Kaufman,35,Constable Pct 3,,REP,Matt Woodall,1724,13,1291,1,419,0
Kaufman,10,Constable Pct 4,,REP,Vanessa Brooks,1791,21,1409,0,361,0
Kaufman,12,Constable Pct 4,,REP,Vanessa Brooks,1289,15,1059,0,215,0
Kaufman,15,Constable Pct 4,,REP,Vanessa Brooks,1704,24,1388,5,287,0
Kaufman,16,Constable Pct 4,,REP,Vanessa Brooks,2261,26,1639,0,596,0
Kaufman,17,Constable Pct 4,,REP,Vanessa Brooks,1230,14,929,1,286,0
Kaufman,18,Constable Pct 4,,REP,Vanessa Brooks,1529,21,1239,1,268,0
Kaufman,29,Constable Pct 4,,REP,Vanessa Brooks,2001,23,1381,1,595,1
Kaufman,30,Constable Pct 4,,REP,Vanessa Brooks,1220,16,906,2,296,0
Kaufman,37,Constable Pct 4,,REP,Vanessa Brooks,1113,11,747,0,355,0
Kaufman,1,County Commissioner Pct 1,,REP,Terry Crow,1470,23,1111,2,334,0
Kaufman,2,County Commissioner Pct 1,,REP,Terry Crow,920,19,694,0,207,0
Kaufman,3,County Commissioner Pct 1,,REP,Terry Crow,2224,37,1847,2,338,0
Kaufman,4,County Commissioner Pct 1,,REP,Terry Crow,1347,18,1156,1,172,0
Kaufman,21,County Commissioner Pct 1,,REP,Terry Crow,1492,21,1118,1,352,0
Kaufman,22,County Commissioner Pct 1,,REP,Terry Crow,766,18,611,0,137,0
Kaufman,23,County Commissioner Pct 1,,REP,Terry Crow,957,11,767,0,179,0
Kaufman,28,County Commissioner Pct 1,,REP,Terry Crow,1117,18,936,0,163,0
Kaufman,31,County Commissioner Pct 1,,REP,Terry Crow,796,7,634,0,155,0
Kaufman,33,County Commissioner Pct 1,,REP,Terry Crow,161,1,122,0,38,0
Kaufman,34,County Commissioner Pct 1,,REP,Terry Crow,2657,45,2048,0,564,0
Kaufman,5,County Commissioner Pct 3,,REP,Kelly Lane,612,26,445,2,139,0
Kaufman,6,County Commissioner Pct 3,,REP,Kelly Lane,1445,19,1065,0,361,0
Kaufman,8,County Commissioner Pct 3,,REP,Kelly Lane,974,28,738,1,207,0
Kaufman,9,County Commissioner Pct 3,,REP,Kelly Lane,1135,15,827,0,292,1
Kaufman,19,County Commissioner Pct 3,,REP,Kelly Lane,1317,41,1005,2,269,0
Kaufman,20,County Commissioner Pct 3,,REP,Kelly Lane,850,15,666,0,168,1
Kaufman,24,County Commissioner Pct 3,,REP,Kelly Lane,745,22,604,0,119,0
Kaufman,26,County Commissioner Pct 3,,REP,Kelly Lane,487,13,322,1,151,0
Kaufman,35,County Commissioner Pct 3,,REP,Kelly Lane,1750,13,1308,2,427,0
Kaufman,1,County Court at Law No. 1,,REP,Joseph Russell,1480,27,1115,2,336,0
Kaufman,2,County Court at Law No. 1,,REP,Joseph Russell,930,20,704,0,206,0
Kaufman,3,County Court at Law No. 1,,REP,Joseph Russell,2231,38,1854,2,337,0
Kaufman,4,County Court at Law No. 1,,REP,Joseph Russell,1357,20,1162,1,174,0
Kaufman,5,County Court at Law No. 1,,REP,Joseph Russell,596,23,433,2,138,0
Kaufman,6,County Court at Law No. 1,,REP,Joseph Russell,1437,16,1064,0,357,0
Kaufman,7,County Court at Law No. 1,,REP,Joseph Russell,2708,42,2097,3,566,0
Kaufman,8,County Court at Law No. 1,,REP,Joseph Russell,965,26,730,1,208,0
Kaufman,9,County Court at Law No. 1,,REP,Joseph Russell,1131,16,821,0,293,1
Kaufman,10,County Court at Law No. 1,,REP,Joseph Russell,1800,21,1418,0,361,0
Kaufman,11,County Court at Law No. 1,,REP,Joseph Russell,962,21,799,0,142,0
Kaufman,12,County Court at Law No. 1,,REP,Joseph Russell,1293,14,1067,0,212,0
Kaufman,13,County Court at Law No. 1,,REP,Joseph Russell,1967,18,1519,2,428,0
Kaufman,14,County Court at Law No. 1,,REP,Joseph Russell,2525,26,1869,0,630,0
Kaufman,15,County Court at Law No. 1,,REP,Joseph Russell,1713,23,1393,6,291,0
Kaufman,16,County Court at Law No. 1,,REP,Joseph Russell,2278,26,1648,0,604,0
Kaufman,17,County Court at Law No. 1,,REP,Joseph Russell,1235,14,931,1,289,0
Kaufman,18,County Court at Law No. 1,,REP,Joseph Russell,1537,21,1244,1,271,0
Kaufman,19,County Court at Law No. 1,,REP,Joseph Russell,1280,39,971,2,268,0
Kaufman,20,County Court at Law No. 1,,REP,Joseph Russell,835,16,651,0,167,1
Kaufman,21,County Court at Law No. 1,,REP,Joseph Russell,1530,22,1153,1,354,0
Kaufman,22,County Court at Law No. 1,,REP,Joseph Russell,795,18,638,0,139,0
Kaufman,23,County Court at Law No. 1,,REP,Joseph Russell,964,10,770,0,184,0
Kaufman,24,County Court at Law No. 1,,REP,Joseph Russell,736,18,600,0,118,0
Kaufman,25,County Court at Law No. 1,,REP,Joseph Russell,435,8,344,0,83,0
Kaufman,26,County Court at Law No. 1,,REP,Joseph Russell,469,12,307,1,149,0
Kaufman,27,County Court at Law No. 1,,REP,Joseph Russell,2293,32,1902,0,359,0
Kaufman,28,County Court at Law No. 1,,REP,Joseph Russell,1138,20,954,0,164,0
Kaufman,29,County Court at Law No. 1,,REP,Joseph Russell,1987,23,1366,1,596,1
Kaufman,30,County Court at Law No. 1,,REP,Joseph Russell,1224,16,904,2,302,0
Kaufman,31,County Court at Law No. 1,,REP,Joseph Russell,802,7,637,0,158,0
Kaufman,32,County Court at Law No. 1,,REP,Joseph Russell,1321,24,1071,0,226,0
Kaufman,33,County Court at Law No. 1,,REP,Joseph Russell,163,1,122,0,40,0
Kaufman,34,County Court at Law No. 1,,REP,Joseph Russell,2672,44,2059,0,569,0
Kaufman,35,County Court at Law No. 1,,REP,Joseph Russell,1736,12,1298,2,424,0
Kaufman,36,County Court at Law No. 1,,REP,Joseph Russell,1696,21,1370,3,302,0
Kaufman,37,County Court at Law No. 1,,REP,Joseph Russell,1113,11,741,0,361,0
Kaufman,1,County Tax Assessor-Collector,,REP,Teressa Floyd,1496,29,1124,2,341,0
Kaufman,2,County Tax Assessor-Collector,,REP,Teressa Floyd,947,21,717,0,209,0
Kaufman,3,County Tax Assessor-Collector,,REP,Teressa Floyd,2252,38,1866,2,346,0
Kaufman,4,County Tax Assessor-Collector,,REP,Teressa Floyd,1356,18,1164,1,173,0
Kaufman,5,County Tax Assessor-Collector,,REP,Teressa Floyd,622,24,453,2,143,0
Kaufman,6,County Tax Assessor-Collector,,REP,Teressa Floyd,1440,18,1059,0,363,0
Kaufman,7,County Tax Assessor-Collector,,REP,Teressa Floyd,2752,44,2124,3,581,0
Kaufman,8,County Tax Assessor-Collector,,REP,Teressa Floyd,964,27,728,1,208,0
Kaufman,9,County Tax Assessor-Collector,,REP,Teressa Floyd,1138,16,826,0,295,1
Kaufman,10,County Tax Assessor-Collector,,REP,Teressa Floyd,1807,22,1423,0,362,0
Kaufman,11,County Tax Assessor-Collector,,REP,Teressa Floyd,972,21,806,0,145,0
Kaufman,12,County Tax Assessor-Collector,,REP,Teressa Floyd,1297,13,1071,0,213,0
Kaufman,13,County Tax Assessor-Collector,,REP,Teressa Floyd,1993,19,1539,2,433,0
Kaufman,14,County Tax Assessor-Collector,,REP,Teressa Floyd,2561,28,1893,1,639,0
Kaufman,15,County Tax Assessor-Collector,,REP,Teressa Floyd,1716,24,1397,5,290,0
Kaufman,16,County Tax Assessor-Collector,,REP,Teressa Floyd,2274,28,1651,0,595,0
Kaufman,17,County Tax Assessor-Collector,,REP,Teressa Floyd,1239,16,936,1,286,0
Kaufman,18,County Tax Assessor-Collector,,REP,Teressa Floyd,1552,20,1259,1,272,0
Kaufman,19,County Tax Assessor-Collector,,REP,Teressa Floyd,1277,40,976,2,259,0
Kaufman,20,County Tax Assessor-Collector,,REP,Teressa Floyd,850,16,661,0,172,1
Kaufman,21,County Tax Assessor-Collector,,REP,Teressa Floyd,1531,23,1149,1,358,0
Kaufman,22,County Tax Assessor-Collector,,REP,Teressa Floyd,791,18,635,0,138,0
Kaufman,23,County Tax Assessor-Collector,,REP,Teressa Floyd,960,11,770,0,179,0
