county,precinct,office,district,party,candidate,votes,election_day,early_voting,ballot_by_mail,provisional,limited
Collin,PCT 001,"Judge, Court of Criminal Appeals, Place 7",7,Rep,Gina Parker,1047,115,903,28,1,0
Collin,PCT 001,"Judge, Court of Criminal Appeals, Place 7",7,Dem,Nancy Mulder,767,109,622,31,5,0
Collin,PCT 001,"Judge, Court of Criminal Appeals, Place 7",7,,Over Votes,0,0,0,0,0,0
Collin,PCT 001,"Judge, Court of Criminal Appeals, Place 7",7,,Under Votes,112,22,85,4,1,0
Collin,PCT 001,"Judge, Court of Criminal Appeals, Place 8",8,Rep,Lee Finley,1067,114,925,27,1,0
Collin,PCT 001,"Judge, Court of Criminal Appeals, Place 8",8,Dem,Chika Anyiam,745,107,603,30,5,0
Collin,PCT 001,"Judge, Court of Criminal Appeals, Place 8",8,,Over Votes,0,0,0,0,0,0
Collin,PCT 001,"Judge, Court of Criminal Appeals, Place 8",8,,Under Votes,114,25,82,6,1,0
Collin,PCT 001,State Board of Education,12,Rep,Pam Little,1073,115,928,29,1,0
Collin,PCT 001,State Board of Education,12,Dem,George King,764,111,618,30,5,0
Collin,PCT 001,State Board of Education,12,,Over Votes,0,0,0,0,0,0
Collin,PCT 001,State Board of Education,12,,Under Votes,89,20,64,4,1,0
Collin,PCT 001,State Senate,8,Rep,Angela Paxton,1013,110,874,28,1,0
Collin,PCT 001,State Senate,8,Dem,Rachel Mello,831,118,677,31,5,0
Collin,PCT 001,State Senate,8,,Over Votes,0,0,0,0,0,0
Collin,PCT 001,State Senate,8,,Under Votes,82,18,59,4,1,0
Collin,PCT 001,State Representative,67,Rep,Jeff Leach,1078,118,928,31,1,0
Collin,PCT 001,State Representative,67,Dem,Makala L. Washington,745,110,602,28,5,0
Collin,PCT 001,State Representative,67,,Over Votes,0,0,0,0,0,0
Collin,PCT 001,State Representative,67,,Under Votes,103,18,80,4,1,0
Collin,PCT 001,"Chief Justice, 5th Court of Appeals District",,Rep,Justin Jay “J.J.” Koch,1034,112,892,30,0,0
Collin,PCT 001,"Chief Justice, 5th Court of Appeals District",,Dem,Staci Williams,766,112,619,29,6,0
Collin,PCT 001,"Chief Justice, 5th Court of Appeals District",,,Over Votes,0,0,0,0,0,0
Collin,PCT 001,"Chief Justice, 5th Court of Appeals District",,,Under Votes,126,22,99,4,1,0
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 2",2,Rep,Jessica Lewis,1053,116,908,28,1,0
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 2",2,Dem,Robbie Partida-Kipness,744,107,602,30,5,0
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 2",2,,Over Votes,0,0,0,0,0,0
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 2",2,,Under Votes,129,23,100,5,1,0
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 5",5,Rep,Cynthia Barbare,1041,115,897,28,1,0
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 5",5,Dem,Erin A. Nowell,753,108,610,30,5,0
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 5",5,,Over Votes,0,0,0,0,0,0
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 5",5,,Under Votes,132,23,103,5,1,0
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 9",9,Rep,Matthew J. Kolodoski,1030,113,890,27,0,0
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 9",9,Dem,Tina Clinton,760,110,614,30,6,0
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 9",9,,Over Votes,0,0,0,0,0,0
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 9",9,,Under Votes,136,23,106,6,1,0
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 10",10,Rep,Earl Jackson,1022,112,883,27,0,0
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 10",10,Dem,Amanda Reichek,767,110,619,32,6,0
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 10",10,,Over Votes,0,0,0,0,0,0
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 10",10,,Under Votes,137,24,108,4,1,0
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 11",11,Rep,Gino J. Rossini,1028,111,886,30,1,0
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 11",11,Dem,Kim Cooks,760,112,614,29,5,0
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 11",11,,Over Votes,0,0,0,0,0,0
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 11",11,,Under Votes,138,23,110,4,1,0
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 12",12,Rep,Mike Lee,1036,113,894,28,1,0
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 12",12,Dem,Ken Molberg,756,109,612,30,5,0
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 12",12,,Over Votes,0,0,0,0,0,0
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 12",12,,Under Votes,134,24,104,5,1,0
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 13",13,Rep,Emily A. Miskel,1038,116,895,27,0,0
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 13",13,Dem,Tonya Parker,752,105,610,31,6,0
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 13",13,,Over Votes,0,0,0,0,0,0
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 13",13,,Under Votes,136,25,105,5,1,0
Collin,PCT 001,"District Judge, 199th Judicial District",,Rep,Angela Tucker,1190,143,1014,30,3,0
Collin,PCT 001,"District Judge, 199th Judicial District",,,Over Votes,0,0,0,0,0,0
Collin,PCT 001,"District Judge, 199th Judicial District",,,Under Votes,736,103,596,33,4,0
Collin,PCT 001,"District Judge, 380th Judicial District",,Rep,Ben Smith,1163,0,1,3,9,995
Collin,PCT 001,"District Judge, 380th Judicial District",,,Over Votes,0,0,0,0,0,0
Collin,PCT 001,"District Judge, 380th Judicial District",,,Under Votes,763,107,615,36,5,0
Collin,PCT 001,"District Judge, 401st Judicial District",,Rep,Kim Laseter,1146,136,979,29,2,0
Collin,PCT 001,"District Judge, 401st Judicial District",,,Over Votes,0,0,0,0,0,0
Collin,PCT 001,"District Judge, 401st Judicial District",,,Under Votes,780,110,631,34,5,0
Collin,PCT 001,"District Judge, 416th Judicial District",,Rep,Andrea Stroh Thompson,1145,137,977,29,2,0
Collin,PCT 001,"District Judge, 416th Judicial District",,,Over Votes,0,0,0,0,0,0
Collin,PCT 001,"District Judge, 416th Judicial District",,,Under Votes,781,109,633,34,5,0
Collin,PCT 001,"District Judge, 468th Judicial District",,Rep,Lindsey Wynne,1148,134,982,30,2,0
Collin,PCT 001,"District Judge, 468th Judicial District",,,Over Votes,0,0,0,0,0,0
Collin,PCT 001,"District Judge, 468th Judicial District",,,Under Votes,778,112,628,33,5,0
Collin,PCT 001,"District Judge, 469th Judicial District",,Rep,Piper McCraw,1154,136,988,28,2,0
Collin,PCT 001,"District Judge, 469th Judicial District",,,Over Votes,0,0,0,0,0,0
Collin,PCT 001,"District Judge, 469th Judicial District",,,Under Votes,772,110,622,35,5,0
Collin,PCT 001,"District Judge, 470th Judicial District",,Rep,Brook Fulks,1143,135,978,28,2,0
Collin,PCT 001,"District Judge, 470th Judicial District",,,Over Votes,0,0,0,0,0,0
Collin,PCT 001,"District Judge, 470th Judicial District",,,Under Votes,783,111,632,35,5,0
Collin,PCT 001,"District Judge, 471st Judicial District",,Rep,Andrea Bouressa,1144,136,977,29,2,0
Collin,PCT 001,"District Judge, 471st Judicial District",,,Over Votes,0,0,0,0,0,0
Collin,PCT 001,"District Judge, 471st Judicial District",,,Under Votes,782,110,633,34,5,0
Collin,PCT 001,"District Judge, 493rd Judicial District",,Rep,Christine A. Nowak,1147,136,981,28,2,0
Collin,PCT 001,"District Judge, 493rd Judicial District",,,Over Votes,0,0,0,0,0,0
Collin,PCT 001,"District Judge, 493rd Judicial District",,,Under Votes,779,110,629,35,5,0
Collin,PCT 001,"Judge, County Probate Court, Unexpired Term",,Rep,Sarah R. Duff,1157,135,991,30,1,0
Collin,PCT 001,"Judge, County Probate Court, Unexpired Term",,,Over Votes,0,0,0,0,0,0
Collin,PCT 001,"Judge, County Probate Court, Unexpired Term",,,Under Votes,769,111,619,33,6,0
Collin,PCT 001,Sheriff,,Rep,Jim Skinner,1157,136,990,29,2,0
Collin,PCT 001,Sheriff,,,Over Votes,0,0,0,0,0,0
Collin,PCT 001,Sheriff,,,Under Votes,769,110,620,34,5,0
Collin,PCT 001,County Tax Assessor-Collector,,Rep,Scott Grigg,1049,108,914,26,1,0
Collin,PCT 001,County Tax Assessor-Collector,,Dem,Stephanie Cooksey,736,21,1,0,9,595
Collin,PCT 001,County Tax Assessor-Collector,,,Over Votes,0,0,0,0,0,0
Collin,PCT 001,County Tax Assessor-Collector,,,Under Votes,140,28,101,8,3,0
Collin,PCT 001,"County Commissioner, Precinct No. 3",3,Rep,Darrell Hale,1040,113,900,26,1,0
Collin,PCT 001,"County Commissioner, Precinct No. 3",3,Dem,Yvette Johnson,746,105,608,30,3,0
Collin,PCT 001,"County Commissioner, Precinct No. 3",3,,Over Votes,0,0,0,0,0,0
Collin,PCT 001,"County Commissioner, Precinct No. 3",3,,Under Votes,140,28,102,7,3,0
Collin,PCT 001,"Constable, Precinct No. 1",1,Rep,Matt Carpenter,1113,129,952,29,3,0
Collin,PCT 001,"Constable, Precinct No. 1",1,,Over Votes,0,0,0,0,0,0
Collin,PCT 001,"Constable, Precinct No. 1",1,,Under Votes,813,117,658,34,4,0
Collin,PCT 001,Proposition A - City of McKinney,,,YES,711,114,564,28,5,0
Collin,PCT 001,Proposition A - City of McKinney,,,NO,1105,103,974,28,0,0
Collin,PCT 001,Proposition A - City of McKinney,,,Over Votes,0,0,0,0,0,0
Collin,PCT 001,Proposition A - City of McKinney,,,Under Votes,110,29,72,7,2,0
Collin,PCT 001,Proposition B - City of McKinney,,,NO,925,127,779,18,1,0
Collin,PCT 001,Proposition B - City of McKinney,,,Over Votes,0,0,0,0,0,0
Collin,PCT 001,Proposition B - City of McKinney,,,Under Votes,148,29,108,9,2,0
Collin,PCT 001,Proposition C - City of McKinney,,,YES,1272,161,1062,45,4,0
Collin,PCT 001,Proposition C - City of McKinney,,,NO,503,55,439,8,1,0
Collin,PCT 001,Proposition C - City of McKinney,,,Over Votes,0,0,0,0,0,0
Collin,PCT 001,Proposition C - City of McKinney,,,Under Votes,151,30,109,10,2,0
Collin,PCT 001,Proposition D - City of McKinney,,,YES,1249,157,1044,44,4,0
Collin,PCT 001,Proposition D - City of McKinney,,,NO,524,58,456,9,1,0
Collin,PCT 001,Proposition D - City of McKinney,,,Over Votes,0,0,0,0,0,0
Collin,PCT 001,Proposition D - City of McKinney,,,Under Votes,153,31,110,10,2,0
Collin,PCT 002,President,,Rep,Donald J. Trump/JD Vance,1500,274,1189,36,1,0
Collin,PCT 002,President,,Dem,Kamala D. Harris/Tim Walz,1417,254,1108,51,4,0
Collin,PCT 002,President,,Lib,Chase Oliver/Mike ter Maat,18,9,9,0,0,0
Collin,PCT 002,President,,Grn,Jill Stein/Rudolph Ware,29,15,14,0,0,0
Collin,PCT 002,President,,,Over Votes,0,0,0,0,0,0
Collin,PCT 002,President,,,Under Votes,10,1,9,0,0,0
Collin,PCT 002,U.S. Senate,,Rep,Ted Cruz,1397,243,1118,35,1,0
Collin,PCT 002,U.S. Senate,,Dem,Colin Allred,1471,270,1147,50,4,0
Collin,PCT 002,U.S. Senate,,Lib,Ted Brown,73,26,46,1,0,0
Collin,PCT 002,U.S. Senate,,,Over Votes,0,0,0,0,0,0
Collin,PCT 002,U.S. Senate,,,Under Votes,46,15,29,2,0,0
Collin,PCT 002,U.S. House,3,Rep,Keith Self,1515,269,1206,39,1,0
Collin,PCT 002,U.S. House,3,Dem,Sandeep Srivastava,1321,232,1041,44,4,0
Collin,PCT 002,U.S. House,3,,Over Votes,0,0,0,0,0,0
Collin,PCT 002,U.S. House,3,,Under Votes,153,53,95,5,0,0
Collin,PCT 002,Railroad Commissioner,,Rep,Christi Craddick,1442,244,1159,38,1,0
Collin,PCT 002,Railroad Commissioner,,Dem,Katherine Culbert,1245,207,990,44,4,0
Collin,PCT 002,Railroad Commissioner,,Lib,Hawk Dunlap,86,27,59,0,0,0
Collin,PCT 002,Railroad Commissioner,,Grn,Eddie Espinoza,60,20,39,1,0,0
Collin,PCT 002,Railroad Commissioner,,,Over Votes,0,0,0,0,0,0
Collin,PCT 002,Railroad Commissioner,,,Under Votes,156,56,95,5,0,0
Collin,PCT 002,"Justice, Supreme Court, Place 2",2,Rep,Jimmy Blacklock,1495,256,1201,37,1,0
Collin,PCT 002,"Justice, Supreme Court, Place 2",2,Dem,DaSean Jones,1322,233,1037,48,4,0
Collin,PCT 002,"Justice, Supreme Court, Place 2",2,,Over Votes,0,0,0,0,0,0
Collin,PCT 002,"Justice, Supreme Court, Place 2",2,,Under Votes,172,65,104,3,0,0
Collin,PCT 002,"Justice, Supreme Court, Place 4",4,Rep,John Devine,1451,249,1164,37,1,0
Collin,PCT 002,"Justice, Supreme Court, Place 4",4,Dem,Christine Vinh Weems,1328,228,1048,48,4,0
Collin,PCT 002,"Justice, Supreme Court, Place 4",4,,Over Votes,0,0,0,0,0,0
Collin,PCT 002,"Justice, Supreme Court, Place 4",4,,Under Votes,210,77,130,3,0,0
Collin,PCT 002,"Justice, Supreme Court, Place 6",6,Rep,Jane Bland,1438,240,1162,35,1,0
Collin,PCT 002,"Justice, Supreme Court, Place 6",6,Dem,Bonnie Lee Goldstein,1266,209,1005,48,4,0
Collin,PCT 002,"Justice, Supreme Court, Place 6",6,Lib,J. David Roberson,109,39,68,2,0,0
Collin,PCT 002,"Justice, Supreme Court, Place 6",6,,Over Votes,0,0,0,0,0,0
Collin,PCT 002,"Justice, Supreme Court, Place 6",6,,Under Votes,176,66,107,3,0,0
Collin,PCT 002,"Presiding Judge, Court of Criminal Appeals",,Rep,David J. Schenck,1488,249,1200,38,1,0
Collin,PCT 002,"Presiding Judge, Court of Criminal Appeals",,Dem,Holly Taylor,1315,235,1030,46,4,0
Collin,PCT 002,"Presiding Judge, Court of Criminal Appeals",,,Over Votes,0,0,0,0,0,0
Collin,PCT 002,"Presiding Judge, Court of Criminal Appeals",,,Under Votes,186,70,112,4,0,0
Collin,PCT 002,"Judge, Court of Criminal Appeals, Place 7",7,Rep,Gina Parker,1486,255,1194,36,1,0
Collin,PCT 002,"Judge, Court of Criminal Appeals, Place 7",7,Dem,Nancy Mulder,1298,221,1027,46,4,0
Collin,PCT 002,"Judge, Court of Criminal Appeals, Place 7",7,,Over Votes,0,0,0,0,0,0
Collin,PCT 002,"Judge, Court of Criminal Appeals, Place 7",7,,Under Votes,205,78,121,6,0,0
Collin,PCT 002,"Judge, Court of Criminal Appeals, Place 8",8,Rep,Lee Finley,1492,250,1203,38,1,0
Collin,PCT 002,"Judge, Court of Criminal Appeals, Place 8",8,Dem,Chika Anyiam,1298,228,1020,46,4,0
Collin,PCT 002,"Judge, Court of Criminal Appeals, Place 8",8,,Over Votes,0,0,0,0,0,0
Collin,PCT 002,"Judge, Court of Criminal Appeals, Place 8",8,,Under Votes,199,76,119,4,0,0
Collin,PCT 002,State Board of Education,12,Rep,Pam Little,1515,264,1213,37,1,0
Collin,PCT 002,State Board of Education,12,Dem,George King,1290,217,1021,48,4,0
Collin,PCT 002,State Board of Education,12,,Over Votes,0,0,0,0,0,0
Collin,PCT 002,State Board of Education,12,,Under Votes,184,73,108,3,0,0
Collin,PCT 002,State Senate,8,Rep,Angela Paxton,1445,261,1149,34,1,0
Collin,PCT 002,State Senate,8,Dem,Rachel Mello,1369,228,1086,51,4,0
Collin,PCT 002,State Senate,8,,Over Votes,0,0,0,0,0,0
Collin,PCT 002,State Senate,8,,Under Votes,175,65,107,3,0,0
Collin,PCT 002,State Representative,67,Rep,Jeff Leach,1492,249,1206,36,1,0
Collin,PCT 002,State Representative,67,Dem,Makala L. Washington,1289,228,1008,49,4,0
Collin,PCT 002,State Representative,67,,Over Votes,0,0,0,0,0,0
Collin,PCT 002,State Representative,67,,Under Votes,208,77,128,3,0,0
Collin,PCT 002,"Chief Justice, 5th Court of Appeals District",,Rep,Justin Jay “J.J.” Koch,1443,240,1166,36,1,0
Collin,PCT 002,"Chief Justice, 5th Court of Appeals District",,Dem,Staci Williams,1316,229,1035,48,4,0
Collin,PCT 002,"Chief Justice, 5th Court of Appeals District",,,Over Votes,0,0,0,0,0,0
Collin,PCT 002,"Chief Justice, 5th Court of Appeals District",,,Under Votes,230,85,141,4,0,0
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 2",2,Rep,Jessica Lewis,1490,263,1189,37,1,0
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 2",2,Dem,Robbie Partida-Kipness,1260,205,1004,47,4,0
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 2",2,,Over Votes,0,0,0,0,0,0
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 2",2,,Under Votes,239,86,149,4,0,0
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 5",5,Rep,Cynthia Barbare,1456,250,1167,38,1,0
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 5",5,Dem,Erin A. Nowell,1296,218,1027,47,4,0
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 5",5,,Over Votes,0,0,0,0,0,0
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 5",5,,Under Votes,237,86,148,3,0,0
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 9",9,Rep,Matthew J. Kolodoski,1430,237,1156,36,1,0
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 9",9,Dem,Tina Clinton,1319,228,1039,48,4,0
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 9",9,,Over Votes,0,0,0,0,0,0
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 9",9,,Under Votes,240,89,147,4,0,0
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 10",10,Rep,Earl Jackson,1433,241,1155,36,1,0
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 10",10,Dem,Amanda Reichek,1317,222,1043,48,4,0
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 10",10,,Over Votes,0,0,0,0,0,0
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 10",10,,Under Votes,239,91,144,4,0,0
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 11",11,Rep,Gino J. Rossini,1441,235,1171,34,1,0
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 11",11,Dem,Kim Cooks,1305,226,1026,49,4,0
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 11",11,,Over Votes,0,0,0,0,0,0
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 11",11,,Under Votes,243,93,145,5,0,0
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 12",12,Rep,Mike Lee,1466,253,1177,35,1,0
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 12",12,Dem,Ken Molberg,1279,207,1020,48,4,0
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 12",12,,Over Votes,0,0,0,0,0,0
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 12",12,,Under Votes,244,94,145,5,0,0
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 13",13,Rep,Emily A. Miskel,1435,240,1159,35,1,0
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 13",13,Dem,Tonya Parker,1308,221,1034,49,4,0
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 13",13,,Over Votes,0,0,0,0,0,0
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 13",13,,Under Votes,246,93,149,4,0,0
Collin,PCT 002,"District Judge, 199th Judicial District",,Rep,Angela Tucker,1716,308,1362,44,2,0
Collin,PCT 002,"District Judge, 199th Judicial District",,,Over Votes,0,0,0,0,0,0
Collin,PCT 002,"District Judge, 199th Judicial District",,,Under Votes,1,273,246,980,44,3
Collin,PCT 002,"District Judge, 380th Judicial District",,Rep,Ben Smith,1682,0,3,0,4,1331
Collin,PCT 002,"District Judge, 380th Judicial District",,,Over Votes,0,0,0,0,0,0
Collin,PCT 002,"District Judge, 380th Judicial District",,,Under Votes,1,307,250,1,11,43
Collin,PCT 002,"District Judge, 401st Judicial District",,Rep,Kim Laseter,1682,294,1341,45,2,0
Collin,PCT 002,"District Judge, 401st Judicial District",,,Over Votes,0,0,0,0,0,0
Collin,PCT 002,"District Judge, 401st Judicial District",,,Under Votes,1,307,260,1,1,43
Collin,PCT 002,"District Judge, 416th Judicial District",,Rep,Andrea Stroh Thompson,1664,297,1320,45,2,0
Collin,PCT 002,"District Judge, 416th Judicial District",,,Over Votes,0,0,0,0,0,0
Collin,PCT 002,"District Judge, 416th Judicial District",,,Under Votes,1,325,257,1,22,43
Collin,PCT 002,"District Judge, 468th Judicial District",,Rep,Lindsey Wynne,1681,295,1339,45,2,0
Collin,PCT 002,"District Judge, 468th Judicial District",,,Over Votes,0,0,0,0,0,0
Collin,PCT 002,"District Judge, 468th Judicial District",,,Under Votes,1,308,259,1,3,43
Collin,PCT 002,"District Judge, 469th Judicial District",,Rep,Piper McCraw,1678,296,1335,45,2,0
Collin,PCT 002,"District Judge, 469th Judicial District",,,Over Votes,0,0,0,0,0,0
Collin,PCT 002,"District Judge, 469th Judicial District",,,Under Votes,1,311,258,1,7,43
Collin,PCT 002,"District Judge, 470th Judicial District",,Rep,Brook Fulks,1672,292,1334,44,2,0
Collin,PCT 002,"District Judge, 470th Judicial District",,,Over Votes,0,0,0,0,0,0
Collin,PCT 002,"District Judge, 470th Judicial District",,,Under Votes,1,317,262,1,8,44
Collin,PCT 002,"District Judge, 471st Judicial District",,Rep,Andrea Bouressa,1669,296,1327,44,2,0
Collin,PCT 002,"District Judge, 471st Judicial District",,,Over Votes,0,0,0,0,0,0
Collin,PCT 002,"District Judge, 471st Judicial District",,,Under Votes,1,320,258,1,15,44
Collin,PCT 002,"District Judge, 493rd Judicial District",,Rep,Christine A. Nowak,1665,296,1324,43,2,0
Collin,PCT 002,"District Judge, 493rd Judicial District",,,Over Votes,0,0,0,0,0,0
Collin,PCT 002,"District Judge, 493rd Judicial District",,,Under Votes,1,324,258,1,18,45
Collin,PCT 002,"Judge, County Probate Court, Unexpired Term",,Rep,Sarah R. Duff,1705,307,1351,45,2,0
Collin,PCT 002,"Judge, County Probate Court, Unexpired Term",,,Over Votes,0,0,0,0,0,0
Collin,PCT 002,"Judge, County Probate Court, Unexpired Term",,,Under Votes,1,284,247,991,43,3
Collin,PCT 002,Sheriff,,Rep,Jim Skinner,1689,305,1340,42,2,0
Collin,PCT 002,Sheriff,,,Over Votes,0,0,0,0,0,0
Collin,PCT 002,Sheriff,,,Under Votes,1,300,249,1,2,46
Collin,PCT 002,County Tax Assessor-Collector,,Rep,Scott Grigg,1460,238,1184,37,1,0
Collin,PCT 002,County Tax Assessor-Collector,,Dem,Stephanie Cooksey,1269,42,2,1,7,1003
Collin,PCT 002,County Tax Assessor-Collector,,,Over Votes,0,0,0,0,0,0
Collin,PCT 002,County Tax Assessor-Collector,,,Under Votes,255,98,151,5,1,0
Collin,PCT 002,"County Commissioner, Precinct No. 3",3,Rep,Darrell Hale,1464,247,1179,37,1,0
Collin,PCT 002,"County Commissioner, Precinct No. 3",3,Dem,Yvette Johnson,1269,212,1007,47,3,0
Collin,PCT 002,"County Commissioner, Precinct No. 3",3,,Over Votes,0,0,0,0,0,0
Collin,PCT 002,"County Commissioner, Precinct No. 3",3,,Under Votes,256,95,156,4,1,0
Collin,PCT 002,"Constable, Precinct No. 1",1,Rep,Matt Carpenter,1651,292,1311,46,2,0
Collin,PCT 002,"Constable, Precinct No. 1",1,,Over Votes,0,0,0,0,0,0
Collin,PCT 002,"Constable, Precinct No. 1",1,,Under Votes,1,338,262,1,31,42
Collin,PCT 002,Proposition A - City of McKinney,,,YES,1500,319,1127,53,1,0
Collin,PCT 002,Proposition A - City of McKinney,,,NO,1237,152,1056,26,3,0
