county,precinct,office,district,party,candidate,votes,absentee,early,election_day
Midland,306,City Council,,,Robin Poole,422,21,263,138
Midland,307,City Council,,,Robin Poole,236,8,189,39
Midland,307A,City Council,,,Robin Poole,185,3,147,35
Midland,308,City Council,,,Robin Poole,499,11,366,122
Midland,309,City Council,,,Robin Poole,54,0,33,21
Midland,310,City Council,,,Robin Poole,103,4,76,23
Midland,401,City Council,,,Robin Poole,23,0,19,4
Midland,402,City Council,,,Robin Poole,242,5,210,27
Midland,403,City Council,,,Robin Poole,850,26,704,120
Midland,404,City Council,,,Robin Poole,639,13,580,46
Midland,405,City Council,,,Robin Poole,637,16,539,82
Midland,407,City Council,,,Robin Poole,534,11,440,83
Midland,408,City Council,,,Robin Poole,698,14,618,66
Midland,409,City Council,,,Robin Poole,552,10,473,69
Midland,410,City Council,,,Robin Poole,546,4,466,76
Midland,411,City Council,,,Robin Poole,935,13,798,124
Midland,204,City Council Member,1 Midland,,Brian Stubbs,1658,31,1402,225
Midland,210,City Council Member,1 Midland,,Brian Stubbs,489,6,407,76
Midland,211,City Council Member,1 Midland,,Brian Stubbs,1866,4,1388,474
Midland,404,City Council Member,1 Midland,,Brian Stubbs,960,20,855,85
Midland,407,City Council Member,1 Midland,,Brian Stubbs,885,10,751,124
Midland,408,City Council Member,1 Midland,,Brian Stubbs,1257,19,1125,113
Midland,409,City Council Member,1 Midland,,Brian Stubbs,839,11,717,111
Midland,204,City Council Member,1 Midland,,Heather Bredimus,649,8,530,111
Midland,210,City Council Member,1 Midland,,Heather Bredimus,224,2,176,46
Midland,211,City Council Member,1 Midland,,Heather Bredimus,727,5,518,204
Midland,404,City Council Member,1 Midland,,Heather Bredimus,452,9,393,50
Midland,407,City Council Member,1 Midland,,Heather Bredimus,395,11,307,77
Midland,408,City Council Member,1 Midland,,Heather Bredimus,445,10,368,67
Midland,409,City Council Member,1 Midland,,Heather Bredimus,353,8,287,58
Midland,101A,City Council Member,2 Midland,,John Norman,1,0,0,1
Midland,104,City Council Member,2 Midland,,John Norman,274,4,191,79
Midland,109,City Council Member,2 Midland,,John Norman,234,1,158,75
Midland,303,City Council Member,2 Midland,,John Norman,94,0,64,30
Midland,304,City Council Member,2 Midland,,John Norman,378,4,263,111
Midland,305,City Council Member,2 Midland,,John Norman,373,12,227,134
Midland,306,City Council Member,2 Midland,,John Norman,811,31,508,272
Midland,308,City Council Member,2 Midland,,John Norman,1080,28,778,274
Midland,309,City Council Member,2 Midland,,John Norman,108,0,62,46
Midland,310,City Council Member,2 Midland,,John Norman,217,3,145,69
Midland,406,City of Odessa Mayor,,,Cal Hendrick,1418,23,940,455
Midland,406,City of Odessa Mayor,,,Javier Joven,324,4,215,105
Midland,101,Constable Pct 1,,REP,Douglas M. Brown,523,5,400,118
Midland,101A,Constable Pct 1,,REP,Douglas M. Brown,1,0,0,1
Midland,102,Constable Pct 1,,REP,Douglas M. Brown,1589,13,1208,368
Midland,103,Constable Pct 1,,REP,Douglas M. Brown,1780,30,1353,397
Midland,104,Constable Pct 1,,REP,Douglas M. Brown,310,7,216,87
Midland,105,Constable Pct 1,,REP,Douglas M. Brown,691,11,470,210
Midland,106,Constable Pct 1,,REP,Douglas M. Brown,1573,34,1183,356
Midland,107,Constable Pct 1,,REP,Douglas M. Brown,1422,35,1167,220
Midland,108,Constable Pct 1,,REP,Douglas M. Brown,213,3,159,51
Midland,108A,Constable Pct 1,,REP,Douglas M. Brown,195,5,117,73
Midland,109,Constable Pct 1,,REP,Douglas M. Brown,271,2,183,86
Midland,109A,Constable Pct 1,,REP,Douglas M. Brown,0,0,0,0
Midland,110,Constable Pct 1,,REP,Douglas M. Brown,2000,30,1743,227
Midland,201,Constable Pct 2,,REP,Scott Casbeer,1363,17,1006,340
Midland,202,Constable Pct 2,,REP,Scott Casbeer,1998,21,1356,621
Midland,202A,Constable Pct 2,,REP,Scott Casbeer,2056,18,1485,553
Midland,203,Constable Pct 2,,REP,Scott Casbeer,416,5,346,65
Midland,204,Constable Pct 2,,REP,Scott Casbeer,2403,48,1997,358
Midland,205,Constable Pct 2,,REP,Scott Casbeer,1033,27,894,112
Midland,206,Constable Pct 2,,REP,Scott Casbeer,1064,18,920,126
Midland,207,Constable Pct 2,,REP,Scott Casbeer,1480,41,1245,194
Midland,208,Constable Pct 2,,REP,Scott Casbeer,342,7,245,90
Midland,210,Constable Pct 2,,REP,Scott Casbeer,733,12,599,122
Midland,211,Constable Pct 2,,REP,Scott Casbeer,2857,14,2100,743
Midland,302,Constable Pct 3,,REP,Jerry Cook II,1255,10,905,340
Midland,303,Constable Pct 3,,REP,Jerry Cook II,103,0,75,28
Midland,304,Constable Pct 3,,REP,Jerry Cook II,320,0,219,101
Midland,305,Constable Pct 3,,REP,Jerry Cook II,249,2,150,97
Midland,306,Constable Pct 3,,REP,Jerry Cook II,535,6,351,178
Midland,307,Constable Pct 3,,REP,Jerry Cook II,455,13,337,105
Midland,307A,Constable Pct 3,,REP,Jerry Cook II,340,4,264,72
Midland,308,Constable Pct 3,,REP,Jerry Cook II,744,6,534,204
Midland,309,Constable Pct 3,,REP,Jerry Cook II,88,0,58,30
Midland,309A,Constable Pct 3,,REP,Jerry Cook II,15,0,15,0
Midland,310,Constable Pct 3,,REP,Jerry Cook II,234,2,154,78
Midland,302,Constable Pct 3,,DEM,Larry Woodruff,326,7,211,108
Midland,303,Constable Pct 3,,DEM,Larry Woodruff,48,0,28,20
Midland,304,Constable Pct 3,,DEM,Larry Woodruff,244,6,164,74
Midland,305,Constable Pct 3,,DEM,Larry Woodruff,320,13,199,108
Midland,306,Constable Pct 3,,DEM,Larry Woodruff,695,52,444,199
Midland,307,Constable Pct 3,,DEM,Larry Woodruff,192,9,147,36
Midland,307A,Constable Pct 3,,DEM,Larry Woodruff,207,6,159,42
Midland,308,Constable Pct 3,,DEM,Larry Woodruff,807,43,588,176
Midland,309,Constable Pct 3,,DEM,Larry Woodruff,66,0,36,30
Midland,309A,Constable Pct 3,,DEM,Larry Woodruff,3,0,1,2
Midland,310,Constable Pct 3,,DEM,Larry Woodruff,98,6,64,28
Midland,401,Constable Pct 4,,REP,"Jamie ""J.B."" Hall",757,13,584,160
Midland,402,Constable Pct 4,,REP,"Jamie ""J.B."" Hall",623,11,520,92
Midland,403,Constable Pct 4,,REP,"Jamie ""J.B."" Hall",1909,48,1596,265
Midland,404,Constable Pct 4,,REP,"Jamie ""J.B."" Hall",1428,28,1256,144
Midland,405,Constable Pct 4,,REP,"Jamie ""J.B."" Hall",1363,23,1130,210
Midland,406,Constable Pct 4,,REP,"Jamie ""J.B."" Hall",1610,19,1069,522
Midland,407,Constable Pct 4,,REP,"Jamie ""J.B."" Hall",1339,15,1099,225
Midland,408,Constable Pct 4,,REP,"Jamie ""J.B."" Hall",1807,30,1591,186
Midland,409,Constable Pct 4,,REP,"Jamie ""J.B."" Hall",1217,20,1016,181
Midland,410,Constable Pct 4,,REP,"Jamie ""J.B."" Hall",1462,6,1227,229
Midland,411,Constable Pct 4,,REP,"Jamie ""J.B."" Hall",2155,23,1823,309
Midland,101,County Attorney,,REP,Russell Malm,531,5,404,122
Midland,101A,County Attorney,,REP,Russell Malm,1,0,0,1
Midland,102,County Attorney,,REP,Russell Malm,1604,14,1217,373
Midland,103,County Attorney,,REP,Russell Malm,1789,32,1364,393
Midland,104,County Attorney,,REP,Russell Malm,309,7,217,85
Midland,105,County Attorney,,REP,Russell Malm,698,12,471,215
Midland,106,County Attorney,,REP,Russell Malm,1589,35,1189,365
Midland,107,County Attorney,,REP,Russell Malm,1457,34,1197,226
Midland,108,County Attorney,,REP,Russell Malm,214,2,159,53
Midland,108A,County Attorney,,REP,Russell Malm,198,5,120,73
Midland,109,County Attorney,,REP,Russell Malm,273,1,187,85
Midland,109A,County Attorney,,REP,Russell Malm,0,0,0,0
Midland,110,County Attorney,,REP,Russell Malm,2023,29,1758,236
Midland,201,County Attorney,,REP,Russell Malm,1364,18,1009,337
Midland,202,County Attorney,,REP,Russell Malm,2016,21,1365,630
Midland,202A,County Attorney,,REP,Russell Malm,2062,17,1490,555
Midland,203,County Attorney,,REP,Russell Malm,427,5,355,67
Midland,204,County Attorney,,REP,Russell Malm,2432,48,2023,361
Midland,205,County Attorney,,REP,Russell Malm,1043,28,902,113
Midland,206,County Attorney,,REP,Russell Malm,1085,18,938,129
Midland,207,County Attorney,,REP,Russell Malm,1524,41,1284,199
Midland,208,County Attorney,,REP,Russell Malm,347,7,248,92
Midland,210,County Attorney,,REP,Russell Malm,735,11,603,121
Midland,211,County Attorney,,REP,Russell Malm,2883,14,2119,750
Midland,302,County Attorney,,REP,Russell Malm,1412,11,1010,391
Midland,303,County Attorney,,REP,Russell Malm,122,0,85,37
Midland,304,County Attorney,,REP,Russell Malm,439,1,303,135
Midland,305,County Attorney,,REP,Russell Malm,380,6,224,150
Midland,306,County Attorney,,REP,Russell Malm,801,19,504,278
Midland,307,County Attorney,,REP,Russell Malm,528,12,394,122
Midland,307A,County Attorney,,REP,Russell Malm,414,6,318,90
Midland,308,County Attorney,,REP,Russell Malm,1031,12,736,283
Midland,309,County Attorney,,REP,Russell Malm,126,0,73,53
Midland,309A,County Attorney,,REP,Russell Malm,15,0,15,0
Midland,310,County Attorney,,REP,Russell Malm,257,2,171,84
Midland,401,County Attorney,,REP,Russell Malm,768,14,592,162
Midland,402,County Attorney,,REP,Russell Malm,646,11,541,94
Midland,403,County Attorney,,REP,Russell Malm,1938,52,1616,270
Midland,404,County Attorney,,REP,Russell Malm,1443,28,1268,147
Midland,405,County Attorney,,REP,Russell Malm,1383,21,1149,213
Midland,406,County Attorney,,REP,Russell Malm,1625,19,1079,527
Midland,407,County Attorney,,REP,Russell Malm,1353,15,1108,230
Midland,408,County Attorney,,REP,Russell Malm,1820,30,1601,189
Midland,409,County Attorney,,REP,Russell Malm,1230,21,1029,180
Midland,410,County Attorney,,REP,Russell Malm,1470,6,1233,231
Midland,411,County Attorney,,REP,Russell Malm,2176,22,1837,317
Midland,101,County Commissioner Pct 1,,REP,Charles Charlie Hall,524,5,401,118
Midland,101A,County Commissioner Pct 1,,REP,Charles Charlie Hall,1,0,0,1
Midland,102,County Commissioner Pct 1,,REP,Charles Charlie Hall,1591,13,1206,372
Midland,103,County Commissioner Pct 1,,REP,Charles Charlie Hall,1779,32,1353,394
Midland,104,County Commissioner Pct 1,,REP,Charles Charlie Hall,310,7,218,85
Midland,105,County Commissioner Pct 1,,REP,Charles Charlie Hall,699,11,479,209
Midland,106,County Commissioner Pct 1,,REP,Charles Charlie Hall,1566,34,1173,359
Midland,107,County Commissioner Pct 1,,REP,Charles Charlie Hall,1431,33,1181,217
Midland,108,County Commissioner Pct 1,,REP,Charles Charlie Hall,210,3,157,50
Midland,108A,County Commissioner Pct 1,,REP,Charles Charlie Hall,196,4,117,75
Midland,109,County Commissioner Pct 1,,REP,Charles Charlie Hall,267,2,182,83
Midland,109A,County Commissioner Pct 1,,REP,Charles Charlie Hall,0,0,0,0
Midland,110,County Commissioner Pct 1,,REP,Charles Charlie Hall,2009,30,1748,231
Midland,302,County Commissioner Pct 3,,DEM,Luis D. Sanchez,378,7,239,132
Midland,303,County Commissioner Pct 3,,DEM,Luis D. Sanchez,54,0,29,25
Midland,304,County Commissioner Pct 3,,DEM,Luis D. Sanchez,276,6,183,87
Midland,305,County Commissioner Pct 3,,DEM,Luis D. Sanchez,311,15,196,100
Midland,306,County Commissioner Pct 3,,DEM,Luis D. Sanchez,668,51,426,191
Midland,307,County Commissioner Pct 3,,DEM,Luis D. Sanchez,185,9,135,41
Midland,307A,County Commissioner Pct 3,,DEM,Luis D. Sanchez,195,6,145,44
Midland,308,County Commissioner Pct 3,,DEM,Luis D. Sanchez,732,43,539,150
Midland,309,County Commissioner Pct 3,,DEM,Luis D. Sanchez,63,0,33,30
Midland,309A,County Commissioner Pct 3,,DEM,Luis D. Sanchez,2,0,0,2
Midland,310,County Commissioner Pct 3,,DEM,Luis D. Sanchez,88,4,62,22
Midland,302,County Commissioner Pct 3,,REP,Steven Villela,1233,10,893,330
Midland,303,County Commissioner Pct 3,,REP,Steven Villela,98,0,73,25
Midland,304,County Commissioner Pct 3,,REP,Steven Villela,310,0,221,89
Midland,305,County Commissioner Pct 3,,REP,Steven Villela,259,2,152,105
Midland,306,County Commissioner Pct 3,,REP,Steven Villela,589,8,385,196
Midland,307,County Commissioner Pct 3,,REP,Steven Villela,461,13,346,102
Midland,307A,County Commissioner Pct 3,,REP,Steven Villela,358,4,282,72
Midland,308,County Commissioner Pct 3,,REP,Steven Villela,802,5,572,225
Midland,309,County Commissioner Pct 3,,REP,Steven Villela,96,0,64,32
Midland,309A,County Commissioner Pct 3,,REP,Steven Villela,16,0,16,0
Midland,310,County Commissioner Pct 3,,REP,Steven Villela,241,1,157,83
Midland,101,County Tax Assessor-Collector,,REP,Mary Helen Bowers,530,4,404,122
Midland,101A,County Tax Assessor-Collector,,REP,Mary Helen Bowers,1,0,0,1
Midland,102,County Tax Assessor-Collector,,REP,Mary Helen Bowers,1612,13,1224,375
Midland,103,County Tax Assessor-Collector,,REP,Mary Helen Bowers,1801,30,1376,395
Midland,104,County Tax Assessor-Collector,,REP,Mary Helen Bowers,315,8,220,87
Midland,105,County Tax Assessor-Collector,,REP,Mary Helen Bowers,695,13,472,210
Midland,106,County Tax Assessor-Collector,,REP,Mary Helen Bowers,1598,37,1200,361
Midland,107,County Tax Assessor-Collector,,REP,Mary Helen Bowers,1448,36,1190,222
Midland,108,County Tax Assessor-Collector,,REP,Mary Helen Bowers,210,2,156,52
Midland,108A,County Tax Assessor-Collector,,REP,Mary Helen Bowers,195,5,119,71
Midland,109,County Tax Assessor-Collector,,REP,Mary Helen Bowers,278,2,185,91
Midland,109A,County Tax Assessor-Collector,,REP,Mary Helen Bowers,0,0,0,0
Midland,110,County Tax Assessor-Collector,,REP,Mary Helen Bowers,2028,30,1763,235
Midland,201,County Tax Assessor-Collector,,REP,Mary Helen Bowers,1367,18,1006,343
Midland,202,County Tax Assessor-Collector,,REP,Mary Helen Bowers,1990,20,1350,620
Midland,202A,County Tax Assessor-Collector,,REP,Mary Helen Bowers,2053,17,1483,553
Midland,203,County Tax Assessor-Collector,,REP,Mary Helen Bowers,424,5,354,65
Midland,204,County Tax Assessor-Collector,,REP,Mary Helen Bowers,2428,48,2020,360
Midland,205,County Tax Assessor-Collector,,REP,Mary Helen Bowers,1040,28,898,114
Midland,206,County Tax Assessor-Collector,,REP,Mary Helen Bowers,1081,18,935,128
Midland,207,County Tax Assessor-Collector,,REP,Mary Helen Bowers,1509,42,1270,197
Midland,208,County Tax Assessor-Collector,,REP,Mary Helen Bowers,353,7,252,94
Midland,210,County Tax Assessor-Collector,,REP,Mary Helen Bowers,737,10,602,125
Midland,211,County Tax Assessor-Collector,,REP,Mary Helen Bowers,2879,14,2117,748
Midland,302,County Tax Assessor-Collector,,REP,Mary Helen Bowers,1397,11,1005,381
Midland,303,County Tax Assessor-Collector,,REP,Mary Helen Bowers,122,0,85,37
Midland,304,County Tax Assessor-Collector,,REP,Mary Helen Bowers,438,1,299,138
Midland,305,County Tax Assessor-Collector,,REP,Mary Helen Bowers,391,10,232,149
Midland,306,County Tax Assessor-Collector,,REP,Mary Helen Bowers,820,18,517,285
Midland,307,County Tax Assessor-Collector,,REP,Mary Helen Bowers,523,11,389,123
Midland,307A,County Tax Assessor-Collector,,REP,Mary Helen Bowers,418,6,317,95
Midland,308,County Tax Assessor-Collector,,REP,Mary Helen Bowers,1085,18,779,288
Midland,309,County Tax Assessor-Collector,,REP,Mary Helen Bowers,125,0,72,53
