county,precinct,office,district,candidate,party,absentee,early_voting,election_day,votes
Jim Wells,1,"Justice, Supreme Court, Place 4",,Christine Vinh Weems,DEM,8,94,38,140
Jim Wells,1,"Justice, Supreme Court, Place 4",,Under Votes,,1,9,3,13
Jim Wells,1,"Justice, Supreme Court, Place 4",,Over Votes,,0,1,0,1
Jim Wells,1,"Justice, Supreme Court, Place 6",,Jane Bland,REP,0,42,25,67
Jim Wells,1,"Justice, Supreme Court, Place 6",,Bonnie Lee Goldstein,DEM,8,91,38,137
Jim Wells,1,"Justice, Supreme Court, Place 6",,J. David Roberson,LIB,0,7,1,8
Jim Wells,1,"Justice, Supreme Court, Place 6",,Under Votes,,1,8,3,12
Jim Wells,1,"Justice, Supreme Court, Place 6",,Over Votes,,0,1,0,1
Jim Wells,1,"Presiding Judge, Court of Criminal Appeals",,David J. Schenck,REP,0,44,27,71
Jim Wells,1,"Presiding Judge, Court of Criminal Appeals",,Holly Taylor,DEM,8,95,36,139
Jim Wells,1,"Presiding Judge, Court of Criminal Appeals",,Under Votes,,1,9,4,14
Jim Wells,1,"Presiding Judge, Court of Criminal Appeals",,Over Votes,,0,1,0,1
Jim Wells,1,"Judge, Court of Criminal Appeals, Place 7",,Gina Parker,REP,0,47,27,74
Jim Wells,1,"Judge, Court of Criminal Appeals, Place 7",,Nancy Mulder,DEM,8,92,38,138
Jim Wells,1,"Judge, Court of Criminal Appeals, Place 7",,Under Votes,,1,10,2,13
Jim Wells,1,"Judge, Court of Criminal Appeals, Place 7",,Over Votes,,0,0,0,0
Jim Wells,1,"Judge, Court of Criminal Appeals, Place 8",,Lee Finley,REP,0,48,32,80
Jim Wells,1,"Judge, Court of Criminal Appeals, Place 8",,Chika Anyiam,DEM,8,91,32,131
Jim Wells,1,"Judge, Court of Criminal Appeals, Place 8",,Under Votes,,1,10,3,14
Jim Wells,1,"Judge, Court of Criminal Appeals, Place 8",,Over Votes,,0,0,0,0
Jim Wells,1,"Member, State Board of Education, District 3",,Marisa Perez-Diaz,REP,2,73,44,119
Jim Wells,1,"Member, State Board of Education, District 3",,Under Votes,,7,76,23,106
Jim Wells,1,"Member, State Board of Education, District 3",,Over Votes,,0,0,0,0
Jim Wells,1,State Senate,20,"Juan ""Chuy"" Hinojosa",DEM,8,119,54,181
Jim Wells,1,State Senate,20,Under Votes,,1,30,13,44
Jim Wells,1,State Senate,20,Over Votes,,0,0,0,0
Jim Wells,1,State House,43,J.M. Lozano,REP,0,46,30,76
Jim Wells,1,State House,43,Mariana Casarez,DEM,8,92,33,133
Jim Wells,1,State House,43,Under Votes,,1,11,4,16
Jim Wells,1,State House,43,Over Votes,,0,0,0,0
Jim Wells,1,"Justice, 4th Court of Appeals District, Place 2",,Velia J. Meza,DEM,8,116,51,175
Jim Wells,1,"Justice, 4th Court of Appeals District, Place 2",,Under Votes,,1,33,16,50
Jim Wells,1,"Justice, 4th Court of Appeals District, Place 2",,Over Votes,,0,0,0,0
Jim Wells,1,"Justice, 4th Court of Appeals District, Place 3",,Todd McCray,REP,0,43,24,67
Jim Wells,1,"Justice, 4th Court of Appeals District, Place 3",,Cynthia Marie Chapa,DEM,8,95,37,140
Jim Wells,1,"Justice, 4th Court of Appeals District, Place 3",,Under Votes,,1,11,6,18
Jim Wells,1,"Justice, 4th Court of Appeals District, Place 3",,Over Votes,,0,0,0,0
Jim Wells,1,"Justice, 4th Court of Appeals District, Place 4",,Lori Massey Brissette,REP,0,41,25,66
Jim Wells,1,"Justice, 4th Court of Appeals District, Place 4",,Luz Elena Chapa,DEM,8,98,37,143
Jim Wells,1,"Justice, 4th Court of Appeals District, Place 4",,Under Votes,,1,10,5,16
Jim Wells,1,"Justice, 4th Court of Appeals District, Place 4",,Over Votes,,0,0,0,0
Jim Wells,1,"Justice, 4th Court of Appeals District, Place 5",,Adrian Spears,REP,0,41,24,65
Jim Wells,1,"Justice, 4th Court of Appeals District, Place 5",,Liza A. Rodriguez,DEM,8,94,38,140
Jim Wells,1,"Justice, 4th Court of Appeals District, Place 5",,Under Votes,,1,14,5,20
Jim Wells,1,"Justice, 4th Court of Appeals District, Place 5",,Over Votes,,0,0,0,0
Jim Wells,1,"Justice, 4th Court of Appeals District, Place 7",,Lori I. Valenzuela,REP,2,74,43,119
Jim Wells,1,"Justice, 4th Court of Appeals District, Place 7",,Under Votes,,7,75,24,106
Jim Wells,1,"Justice, 4th Court of Appeals District, Place 7",,Over Votes,,0,0,0,0
Jim Wells,1,"District Judge, 79th Judicial District",,Michael Ventura Garcia,DEM,8,117,52,177
Jim Wells,1,"District Judge, 79th Judicial District",,Under Votes,,1,32,15,48
Jim Wells,1,"District Judge, 79th Judicial District",,Over Votes,,0,0,0,0
Jim Wells,1,"District Attorney, 79th Judicial District",,Carlos Omar Garcia,DEM,8,118,53,179
Jim Wells,1,"District Attorney, 79th Judicial District",,Under Votes,,1,31,14,46
Jim Wells,1,"District Attorney, 79th Judicial District",,Over Votes,,0,0,0,0
Jim Wells,1,"Judge, County Court-at-Law Unexpired Term",,"Rumaldo ""Rumy"" Solis Jr",DEM,7,116,52,175
Jim Wells,1,"Judge, County Court-at-Law Unexpired Term",,Under Votes,,2,33,15,50
Jim Wells,1,"Judge, County Court-at-Law Unexpired Term",,Over Votes,,0,0,0,0
Jim Wells,1,County Attorney,,Michael Guerra,DEM,8,118,52,178
Jim Wells,1,County Attorney,,Under Votes,,1,31,15,47
Jim Wells,1,County Attorney,,Over Votes,,0,0,0,0
Jim Wells,1,Sheriff,,"Joseph ""Guy"" Baker",REP,0,54,25,79
Jim Wells,1,Sheriff,,Danny Bueno,DEM,9,85,40,134
Jim Wells,1,Sheriff,,Under Votes,,0,10,1,11
Jim Wells,1,Sheriff,,Over Votes,,0,0,1,1
Jim Wells,1,County Tax Assessor-Collector,,Servando Wolf Garza Jr,REP,0,32,20,52
Jim Wells,1,County Tax Assessor-Collector,,Mary Lozano,DEM,9,107,46,162
Jim Wells,1,County Tax Assessor-Collector,,Under Votes,,0,10,1,11
Jim Wells,1,County Tax Assessor-Collector,,Over Votes,,0,0,0,0
Jim Wells,1,"Constable, Precinct 1",,Albert Martinez,DEM,7,112,47,166
Jim Wells,1,"Constable, Precinct 1",,Under Votes,,2,37,20,59
Jim Wells,1,"Constable, Precinct 1",,Over Votes,,0,0,0,0
Jim Wells,2,Ballots Cast,,,,,,,401
Jim Wells,2,President,,Donald J. Trump,REP,8,239,69,316
Jim Wells,2,President,,Kamala D. Harris,DEM,4,57,20,81
Jim Wells,2,President,,Chase Oliver,LIB,0,2,0,2
Jim Wells,2,President,,Jill Stein,GRN,0,0,0,0
Jim Wells,2,President,,Under Votes,,0,1,0,1
Jim Wells,2,President,,Over Votes,,1,0,0,1
Jim Wells,2,U.S. Senate,,Ted Cruz,REP,7,232,62,301
Jim Wells,2,U.S. Senate,,Colin Allred,DEM,4,62,24,90
Jim Wells,2,U.S. Senate,,Ted Brown,LIB,0,3,3,6
Jim Wells,2,U.S. Senate,,Under Votes,,1,2,0,3
Jim Wells,2,U.S. Senate,,Over Votes,,1,0,0,1
Jim Wells,2,U.S. House,15,Monica De La Cruz,REP,7,239,70,316
Jim Wells,2,U.S. House,15,Michelle Vallejo,DEM,5,57,19,81
Jim Wells,2,U.S. House,15,Under Votes,,1,2,0,3
Jim Wells,2,U.S. House,15,Over Votes,,0,1,0,1
Jim Wells,2,Railroad Commissioner,,Christi Craddick,REP,7,224,61,292
Jim Wells,2,Railroad Commissioner,,Katherine Culbert,DEM,5,55,19,79
Jim Wells,2,Railroad Commissioner,,Hawk Dunlap,LIB,0,11,4,15
Jim Wells,2,Railroad Commissioner,,Eddie Espinoza,GRN,0,4,3,7
Jim Wells,2,Railroad Commissioner,,Under Votes,,1,5,2,8
Jim Wells,2,Railroad Commissioner,,Over Votes,,0,0,0,0
Jim Wells,2,"Justice, Supreme Court, Place 2",,Jimmy Blacklock,REP,7,235,67,309
Jim Wells,2,"Justice, Supreme Court, Place 2",,DaSean Jones,DEM,5,61,19,85
Jim Wells,2,"Justice, Supreme Court, Place 2",,Under Votes,,1,3,3,7
Jim Wells,2,"Justice, Supreme Court, Place 2",,Over Votes,,0,0,0,0
Jim Wells,2,"Justice, Supreme Court, Place 4",,John Devine,REP,7,234,66,307
Jim Wells,2,"Justice, Supreme Court, Place 4",,Christine Vinh Weems,DEM,5,61,21,87
Jim Wells,2,"Justice, Supreme Court, Place 4",,Under Votes,,1,4,2,7
Jim Wells,2,"Justice, Supreme Court, Place 4",,Over Votes,,0,0,0,0
Jim Wells,2,"Justice, Supreme Court, Place 6",,Jane Bland,REP,7,228,65,300
Jim Wells,2,"Justice, Supreme Court, Place 6",,Bonnie Lee Goldstein,DEM,5,61,22,88
Jim Wells,2,"Justice, Supreme Court, Place 6",,J. David Roberson,LIB,0,7,0,7
Jim Wells,2,"Justice, Supreme Court, Place 6",,Under Votes,,1,3,2,6
Jim Wells,2,"Justice, Supreme Court, Place 6",,Over Votes,,0,0,0,0
Jim Wells,2,"Presiding Judge, Court of Criminal Appeals",,David J. Schenck,REP,7,238,66,311
Jim Wells,2,"Presiding Judge, Court of Criminal Appeals",,Holly Taylor,DEM,5,57,19,81
Jim Wells,2,"Presiding Judge, Court of Criminal Appeals",,Under Votes,,1,4,4,9
Jim Wells,2,"Presiding Judge, Court of Criminal Appeals",,Over Votes,,0,0,0,0
Jim Wells,2,"Judge, Court of Criminal Appeals, Place 7",,Gina Parker,REP,7,234,67,308
Jim Wells,2,"Judge, Court of Criminal Appeals, Place 7",,Nancy Mulder,DEM,5,59,19,83
Jim Wells,2,"Judge, Court of Criminal Appeals, Place 7",,Under Votes,,1,6,3,10
Jim Wells,2,"Judge, Court of Criminal Appeals, Place 7",,Over Votes,,0,0,0,0
Jim Wells,2,"Judge, Court of Criminal Appeals, Place 8",,Lee Finley,REP,7,238,66,311
Jim Wells,2,"Judge, Court of Criminal Appeals, Place 8",,Chika Anyiam,DEM,5,57,19,81
Jim Wells,2,"Judge, Court of Criminal Appeals, Place 8",,Under Votes,,1,4,4,9
Jim Wells,2,"Judge, Court of Criminal Appeals, Place 8",,Over Votes,,0,0,0,0
Jim Wells,2,"Member, State Board of Education, District 3",,Marisa Perez-Diaz,REP,9,249,77,335
Jim Wells,2,"Member, State Board of Education, District 3",,Under Votes,,4,50,12,66
Jim Wells,2,"Member, State Board of Education, District 3",,Over Votes,,0,0,0,0
Jim Wells,2,State Senate,20,"Juan ""Chuy"" Hinojosa",DEM,6,128,48,182
Jim Wells,2,State Senate,20,Under Votes,,7,171,41,219
Jim Wells,2,State Senate,20,Over Votes,,0,0,0,0
Jim Wells,2,State House,43,J.M. Lozano,REP,7,238,68,313
Jim Wells,2,State House,43,Mariana Casarez,DEM,5,58,18,81
Jim Wells,2,State House,43,Under Votes,,1,3,3,7
Jim Wells,2,State House,43,Over Votes,,0,0,0,0
Jim Wells,2,"Justice, 4th Court of Appeals District, Place 2",,Velia J. Meza,DEM,6,118,40,164
Jim Wells,2,"Justice, 4th Court of Appeals District, Place 2",,Under Votes,,7,181,49,237
Jim Wells,2,"Justice, 4th Court of Appeals District, Place 2",,Over Votes,,0,0,0,0
Jim Wells,2,"Justice, 4th Court of Appeals District, Place 3",,Todd McCray,REP,7,235,66,308
Jim Wells,2,"Justice, 4th Court of Appeals District, Place 3",,Cynthia Marie Chapa,DEM,5,58,20,83
Jim Wells,2,"Justice, 4th Court of Appeals District, Place 3",,Under Votes,,1,6,3,10
Jim Wells,2,"Justice, 4th Court of Appeals District, Place 3",,Over Votes,,0,0,0,0
Jim Wells,2,"Justice, 4th Court of Appeals District, Place 4",,Lori Massey Brissette,REP,7,228,65,300
Jim Wells,2,"Justice, 4th Court of Appeals District, Place 4",,Luz Elena Chapa,DEM,5,63,21,89
Jim Wells,2,"Justice, 4th Court of Appeals District, Place 4",,Under Votes,,1,8,3,12
Jim Wells,2,"Justice, 4th Court of Appeals District, Place 4",,Over Votes,,0,0,0,0
Jim Wells,2,"Justice, 4th Court of Appeals District, Place 5",,Adrian Spears,REP,7,232,64,303
Jim Wells,2,"Justice, 4th Court of Appeals District, Place 5",,Liza A. Rodriguez,DEM,5,59,21,85
Jim Wells,2,"Justice, 4th Court of Appeals District, Place 5",,Under Votes,,1,8,4,13
Jim Wells,2,"Justice, 4th Court of Appeals District, Place 5",,Over Votes,,0,0,0,0
Jim Wells,2,"Justice, 4th Court of Appeals District, Place 7",,Lori I. Valenzuela,REP,10,244,77,331
Jim Wells,2,"Justice, 4th Court of Appeals District, Place 7",,Under Votes,,3,55,12,70
Jim Wells,2,"Justice, 4th Court of Appeals District, Place 7",,Over Votes,,0,0,0,0
Jim Wells,2,"District Judge, 79th Judicial District",,Michael Ventura Garcia,DEM,7,119,49,175
Jim Wells,2,"District Judge, 79th Judicial District",,Under Votes,,6,180,40,226
Jim Wells,2,"District Judge, 79th Judicial District",,Over Votes,,0,0,0,0
Jim Wells,2,"District Attorney, 79th Judicial District",,Carlos Omar Garcia,DEM,6,122,47,175
Jim Wells,2,"District Attorney, 79th Judicial District",,Under Votes,,7,177,42,226
Jim Wells,2,"District Attorney, 79th Judicial District",,Over Votes,,0,0,0,0
Jim Wells,2,"Judge, County Court-at-Law Unexpired Term",,"Rumaldo ""Rumy"" Solis Jr",DEM,6,123,49,178
Jim Wells,2,"Judge, County Court-at-Law Unexpired Term",,Under Votes,,7,176,40,223
Jim Wells,2,"Judge, County Court-at-Law Unexpired Term",,Over Votes,,0,0,0,0
Jim Wells,2,County Attorney,,Michael Guerra,DEM,6,125,50,181
Jim Wells,2,County Attorney,,Under Votes,,7,174,39,220
Jim Wells,2,County Attorney,,Over Votes,,0,0,0,0
Jim Wells,2,Sheriff,,"Joseph ""Guy"" Baker",REP,5,231,55,291
Jim Wells,2,Sheriff,,Danny Bueno,DEM,6,64,32,102
Jim Wells,2,Sheriff,,Under Votes,,2,4,2,8
Jim Wells,2,Sheriff,,Over Votes,,0,0,0,0
Jim Wells,2,County Tax Assessor-Collector,,Servando Wolf Garza Jr,REP,8,223,52,283
Jim Wells,2,County Tax Assessor-Collector,,Mary Lozano,DEM,4,71,33,108
Jim Wells,2,County Tax Assessor-Collector,,Under Votes,,1,5,4,10
Jim Wells,2,County Tax Assessor-Collector,,Over Votes,,0,0,0,0
Jim Wells,2,"Constable, Precinct 5",,Gerald D. Arismendez,REP,7,236,75,318
Jim Wells,2,"Constable, Precinct 5",,Under Votes,,6,63,14,83
Jim Wells,2,"Constable, Precinct 5",,Over Votes,,0,0,0,0
Jim Wells,3,Ballots Cast,,,,,,,878
Jim Wells,3,President,,Donald J. Trump,REP,5,548,163,716
Jim Wells,3,President,,Kamala D. Harris,DEM,6,105,45,156
Jim Wells,3,President,,Chase Oliver,LIB,0,0,1,1
Jim Wells,3,President,,Jill Stein,GRN,0,0,0,0
Jim Wells,3,President,,Under Votes,,1,0,3,4
Jim Wells,3,President,,Over Votes,,0,0,1,1
Jim Wells,3,U.S. Senate,,Ted Cruz,REP,4,538,150,692
Jim Wells,3,U.S. Senate,,Colin Allred,DEM,7,105,54,166
Jim Wells,3,U.S. Senate,,Ted Brown,LIB,1,7,4,12
Jim Wells,3,U.S. Senate,,Under Votes,,0,3,5,8
Jim Wells,3,U.S. Senate,,Over Votes,,0,0,0,0
Jim Wells,3,U.S. House,15,Monica De La Cruz,REP,5,541,167,713
Jim Wells,3,U.S. House,15,Michelle Vallejo,DEM,5,95,38,138
Jim Wells,3,U.S. House,15,Under Votes,,2,16,8,26
Jim Wells,3,U.S. House,15,Over Votes,,0,1,0,1
Jim Wells,3,Railroad Commissioner,,Christi Craddick,REP,6,520,147,673
Jim Wells,3,Railroad Commissioner,,Katherine Culbert,DEM,5,89,39,133
Jim Wells,3,Railroad Commissioner,,Hawk Dunlap,LIB,0,16,14,30
Jim Wells,3,Railroad Commissioner,,Eddie Espinoza,GRN,0,7,4,11
Jim Wells,3,Railroad Commissioner,,Under Votes,,1,21,9,31
Jim Wells,3,Railroad Commissioner,,Over Votes,,0,0,0,0
Jim Wells,3,"Justice, Supreme Court, Place 2",,Jimmy Blacklock,REP,4,536,164,704
Jim Wells,3,"Justice, Supreme Court, Place 2",,DaSean Jones,DEM,6,94,41,141
Jim Wells,3,"Justice, Supreme Court, Place 2",,Under Votes,,2,23,8,33
Jim Wells,3,"Justice, Supreme Court, Place 2",,Over Votes,,0,0,0,0
Jim Wells,3,"Justice, Supreme Court, Place 4",,John Devine,REP,5,531,159,695
Jim Wells,3,"Justice, Supreme Court, Place 4",,Christine Vinh Weems,DEM,5,96,43,144
Jim Wells,3,"Justice, Supreme Court, Place 4",,Under Votes,,2,26,11,39
Jim Wells,3,"Justice, Supreme Court, Place 4",,Over Votes,,0,0,0,0
Jim Wells,3,"Justice, Supreme Court, Place 6",,Jane Bland,REP,4,527,156,687
Jim Wells,3,"Justice, Supreme Court, Place 6",,Bonnie Lee Goldstein,DEM,5,94,42,141
Jim Wells,3,"Justice, Supreme Court, Place 6",,J. David Roberson,LIB,1,7,8,16
Jim Wells,3,"Justice, Supreme Court, Place 6",,Under Votes,,2,25,7,34
Jim Wells,3,"Justice, Supreme Court, Place 6",,Over Votes,,0,0,0,0
Jim Wells,3,"Presiding Judge, Court of Criminal Appeals",,David J. Schenck,REP,5,534,159,698
Jim Wells,3,"Presiding Judge, Court of Criminal Appeals",,Holly Taylor,DEM,5,95,44,144
Jim Wells,3,"Presiding Judge, Court of Criminal Appeals",,Under Votes,,2,24,10,36
Jim Wells,3,"Presiding Judge, Court of Criminal Appeals",,Over Votes,,0,0,0,0
Jim Wells,3,"Judge, Court of Criminal Appeals, Place 7",,Gina Parker,REP,5,527,158,690
Jim Wells,3,"Judge, Court of Criminal Appeals, Place 7",,Nancy Mulder,DEM,4,99,42,145
Jim Wells,3,"Judge, Court of Criminal Appeals, Place 7",,Under Votes,,3,27,13,43
Jim Wells,3,"Judge, Court of Criminal Appeals, Place 7",,Over Votes,,0,0,0,0
Jim Wells,3,"Judge, Court of Criminal Appeals, Place 8",,Lee Finley,REP,5,530,163,698
Jim Wells,3,"Judge, Court of Criminal Appeals, Place 8",,Chika Anyiam,DEM,4,93,41,138
Jim Wells,3,"Judge, Court of Criminal Appeals, Place 8",,Under Votes,,3,30,9,42
Jim Wells,3,"Judge, Court of Criminal Appeals, Place 8",,Over Votes,,0,0,0,0
Jim Wells,3,"Member, State Board of Education, District 3",,Marisa Perez-Diaz,REP,6,542,177,725
Jim Wells,3,"Member, State Board of Education, District 3",,Under Votes,,6,111,36,153
Jim Wells,3,"Member, State Board of Education, District 3",,Over Votes,,0,0,0,0
Jim Wells,3,State Senate,20,"Juan ""Chuy"" Hinojosa",DEM,6,225,101,332
Jim Wells,3,State Senate,20,Under Votes,,6,428,112,546
Jim Wells,3,State Senate,20,Over Votes,,0,0,0,0
Jim Wells,3,State House,43,J.M. Lozano,REP,7,539,162,708
Jim Wells,3,State House,43,Mariana Casarez,DEM,5,93,42,140
Jim Wells,3,State House,43,Under Votes,,0,21,9,30
Jim Wells,3,State House,43,Over Votes,,0,0,0,0
Jim Wells,3,"Justice, 4th Court of Appeals District, Place 2",,Velia J. Meza,DEM,4,205,100,309
Jim Wells,3,"Justice, 4th Court of Appeals District, Place 2",,Under Votes,,8,448,113,569
Jim Wells,3,"Justice, 4th Court of Appeals District, Place 2",,Over Votes,,0,0,0,0
Jim Wells,3,"Justice, 4th Court of Appeals District, Place 3",,Todd McCray,REP,6,524,161,691
Jim Wells,3,"Justice, 4th Court of Appeals District, Place 3",,Cynthia Marie Chapa,DEM,4,100,42,146
Jim Wells,3,"Justice, 4th Court of Appeals District, Place 3",,Under Votes,,2,29,10,41
Jim Wells,3,"Justice, 4th Court of Appeals District, Place 3",,Over Votes,,0,0,0,0
Jim Wells,3,"Justice, 4th Court of Appeals District, Place 4",,Lori Massey Brissette,REP,5,521,159,685
Jim Wells,3,"Justice, 4th Court of Appeals District, Place 4",,Luz Elena Chapa,DEM,5,99,43,147
Jim Wells,3,"Justice, 4th Court of Appeals District, Place 4",,Under Votes,,2,33,11,46
Jim Wells,3,"Justice, 4th Court of Appeals District, Place 4",,Over Votes,,0,0,0,0
Jim Wells,3,"Justice, 4th Court of Appeals District, Place 5",,Adrian Spears,REP,4,512,161,677
Jim Wells,3,"Justice, 4th Court of Appeals District, Place 5",,Liza A. Rodriguez,DEM,6,104,42,152
Jim Wells,3,"Justice, 4th Court of Appeals District, Place 5",,Under Votes,,2,37,10,49
Jim Wells,3,"Justice, 4th Court of Appeals District, Place 5",,Over Votes,,0,0,0,0
Jim Wells,3,"Justice, 4th Court of Appeals District, Place 7",,Lori I. Valenzuela,REP,6,530,179,715
Jim Wells,3,"Justice, 4th Court of Appeals District, Place 7",,Under Votes,,6,123,34,163
Jim Wells,3,"Justice, 4th Court of Appeals District, Place 7",,Over Votes,,0,0,0,0
Jim Wells,3,"District Judge, 79th Judicial District",,Michael Ventura Garcia,DEM,4,213,102,319
Jim Wells,3,"District Judge, 79th Judicial District",,Under Votes,,8,440,111,559
Jim Wells,3,"District Judge, 79th Judicial District",,Over Votes,,0,0,0,0
Jim Wells,3,"District Attorney, 79th Judicial District",,Carlos Omar Garcia,DEM,4,201,99,304
Jim Wells,3,"District Attorney, 79th Judicial District",,Under Votes,,8,452,114,574
Jim Wells,3,"District Attorney, 79th Judicial District",,Over Votes,,0,0,0,0
Jim Wells,3,"Judge, County Court-at-Law Unexpired Term",,"Rumaldo ""Rumy"" Solis Jr",DEM,4,201,100,305
Jim Wells,3,"Judge, County Court-at-Law Unexpired Term",,Under Votes,,8,452,113,573
Jim Wells,3,"Judge, County Court-at-Law Unexpired Term",,Over Votes,,0,0,0,0
Jim Wells,3,County Attorney,,Michael Guerra,DEM,4,205,97,306
Jim Wells,3,County Attorney,,Under Votes,,8,448,116,572
Jim Wells,3,County Attorney,,Over Votes,,0,0,0,0
Jim Wells,3,Sheriff,,"Joseph ""Guy"" Baker",REP,4,526,159,689
Jim Wells,3,Sheriff,,Danny Bueno,DEM,8,111,49,168
Jim Wells,3,Sheriff,,Under Votes,,0,16,5,21
Jim Wells,3,Sheriff,,Over Votes,,0,0,0,0
Jim Wells,3,County Tax Assessor-Collector,,Servando Wolf Garza Jr,REP,3,488,143,634
Jim Wells,3,County Tax Assessor-Collector,,Mary Lozano,DEM,9,140,61,210
Jim Wells,3,County Tax Assessor-Collector,,Under Votes,,0,24,8,32
Jim Wells,3,County Tax Assessor-Collector,,Over Votes,,0,1,1,2
Jim Wells,3,"County Commissioner, Precinct 3",,Renee Kirchoff Chapa,REP,8,516,182,706
Jim Wells,3,"County Commissioner, Precinct 3",,Under Votes,,4,137,31,172
Jim Wells,3,"County Commissioner, Precinct 3",,Over Votes,,0,0,0,0
Jim Wells,3,"Constable, Precinct 3",,Jim Long,REP,4,532,181,717
Jim Wells,3,"Constable, Precinct 3",,Under Votes,,8,121,32,161
Jim Wells,3,"Constable, Precinct 3",,Over Votes,,0,0,0,0
Jim Wells,4,Ballots Cast,,,,,,,4
Jim Wells,4,President,,Donald J. Trump,REP,0,2,0,2
Jim Wells,4,President,,Kamala D. Harris,DEM,0,2,0,2
Jim Wells,4,President,,Chase Oliver,LIB,0,0,0,0
Jim Wells,4,President,,Jill Stein,GRN,0,0,0,0
Jim Wells,4,President,,Under Votes,,0,0,0,0
Jim Wells,4,President,,Over Votes,,0,0,0,0
Jim Wells,4,U.S. Senate,,Ted Cruz,REP,0,1,0,1
Jim Wells,4,U.S. Senate,,Colin Allred,DEM,0,2,0,2
Jim Wells,4,U.S. Senate,,Ted Brown,LIB,0,1,0,1
Jim Wells,4,U.S. Senate,,Under Votes,,0,0,0,0
Jim Wells,4,U.S. Senate,,Over Votes,,0,0,0,0
Jim Wells,4,U.S. House,15,Monica De La Cruz,REP,0,2,0,2
Jim Wells,4,U.S. House,15,Michelle Vallejo,DEM,0,2,0,2
Jim Wells,4,U.S. House,15,Under Votes,,0,0,0,0
Jim Wells,4,U.S. House,15,Over Votes,,0,0,0,0
Jim Wells,4,Railroad Commissioner,,Christi Craddick,REP,0,0,0,0
Jim Wells,4,Railroad Commissioner,,Katherine Culbert,DEM,0,3,0,3
Jim Wells,4,Railroad Commissioner,,Hawk Dunlap,LIB,0,0,0,0
Jim Wells,4,Railroad Commissioner,,Eddie Espinoza,GRN,0,1,0,1
Jim Wells,4,Railroad Commissioner,,Under Votes,,0,0,0,0
Jim Wells,4,Railroad Commissioner,,Over Votes,,0,0,0,0
Jim Wells,4,"Justice, Supreme Court, Place 2",,Jimmy Blacklock,REP,0,1,0,1
Jim Wells,4,"Justice, Supreme Court, Place 2",,DaSean Jones,DEM,0,3,0,3
Jim Wells,4,"Justice, Supreme Court, Place 2",,Under Votes,,0,0,0,0
Jim Wells,4,"Justice, Supreme Court, Place 2",,Over Votes,,0,0,0,0
Jim Wells,4,"Justice, Supreme Court, Place 4",,John Devine,REP,0,1,0,1
Jim Wells,4,"Justice, Supreme Court, Place 4",,Christine Vinh Weems,DEM,0,3,0,3
Jim Wells,4,"Justice, Supreme Court, Place 4",,Under Votes,,0,0,0,0
Jim Wells,4,"Justice, Supreme Court, Place 4",,Over Votes,,0,0,0,0
Jim Wells,4,"Justice, Supreme Court, Place 6",,Jane Bland,REP,0,0,0,0
Jim Wells,4,"Justice, Supreme Court, Place 6",,Bonnie Lee Goldstein,DEM,0,3,0,3
Jim Wells,4,"Justice, Supreme Court, Place 6",,J. David Roberson,LIB,0,1,0,1
Jim Wells,4,"Justice, Supreme Court, Place 6",,Under Votes,,0,0,0,0
Jim Wells,4,"Justice, Supreme Court, Place 6",,Over Votes,,0,0,0,0
