county,precinct,office,district,party,candidate,votes,absentee,early_votes,election_day,limited,provisional
Montague,3,Board of Trustees,2 Bowie ISD,,Chase Thomas,360,5,294,61,0,0
Montague,4,Board of Trustees,2 Bowie ISD,,Chase Thomas,125,4,99,22,0,0
Montague,5,Board of Trustees,2 Bowie ISD,,Chase Thomas,255,5,209,41,0,0
Montague,6,Board of Trustees,2 Bowie ISD,,Chase Thomas,225,9,182,34,0,0
Montague,7,Board of Trustees,2 Bowie ISD,,Chase Thomas,5,0,5,0,0,0
Montague,8,Board of Trustees,2 Bowie ISD,,Chase Thomas,164,1,97,66,0,0
Montague,15,Board of Trustees,2 Bowie ISD,,Chase Thomas,15,1,13,1,0,0
Montague,16,Board of Trustees,2 Bowie ISD,,Chase Thomas,61,0,52,9,0,0
Montague,2,Board of Trustees,2 Bowie ISD,,Nichole V. Maddox,279,9,226,44,0,0
Montague,3,Board of Trustees,2 Bowie ISD,,Nichole V. Maddox,148,3,128,17,0,0
Montague,4,Board of Trustees,2 Bowie ISD,,Nichole V. Maddox,51,0,37,14,0,0
Montague,5,Board of Trustees,2 Bowie ISD,,Nichole V. Maddox,92,3,71,18,0,0
Montague,6,Board of Trustees,2 Bowie ISD,,Nichole V. Maddox,87,6,76,5,0,0
Montague,7,Board of Trustees,2 Bowie ISD,,Nichole V. Maddox,3,0,3,0,0,0
Montague,8,Board of Trustees,2 Bowie ISD,,Nichole V. Maddox,96,2,70,24,0,0
Montague,15,Board of Trustees,2 Bowie ISD,,Nichole V. Maddox,5,0,5,0,0,0
Montague,16,Board of Trustees,2 Bowie ISD,,Nichole V. Maddox,32,0,29,3,0,0
Montague,2,Board of Trustees Goldburg ISD,,,Becky Case,37,2,32,3,0,0
Montague,12,Board of Trustees Goldburg ISD,,,Becky Case,56,2,26,28,0,0
Montague,15,Board of Trustees Goldburg ISD,,,Becky Case,100,3,77,20,0,0
Montague,16,Board of Trustees Goldburg ISD,,,Becky Case,33,0,29,4,0,0
Montague,2,Board of Trustees Goldburg ISD,,,Chuck Healer,45,2,37,6,0,0
Montague,12,Board of Trustees Goldburg ISD,,,Chuck Healer,35,0,17,18,0,0
Montague,15,Board of Trustees Goldburg ISD,,,Chuck Healer,93,2,78,13,0,0
Montague,16,Board of Trustees Goldburg ISD,,,Chuck Healer,38,0,32,6,0,0
Montague,2,Board of Trustees Goldburg ISD,,,James Martin,40,2,33,5,0,0
Montague,12,Board of Trustees Goldburg ISD,,,James Martin,63,1,29,33,0,0
Montague,15,Board of Trustees Goldburg ISD,,,James Martin,118,2,93,23,0,0
Montague,16,Board of Trustees Goldburg ISD,,,James Martin,33,0,27,6,0,0
Montague,2,Board of Trustees Goldburg ISD,,,Lynn Allen,43,0,39,4,0,0
Montague,12,Board of Trustees Goldburg ISD,,,Lynn Allen,67,1,33,33,0,0
Montague,15,Board of Trustees Goldburg ISD,,,Lynn Allen,148,3,118,27,0,0
Montague,16,Board of Trustees Goldburg ISD,,,Lynn Allen,46,0,37,9,0,0
Montague,2,Board of Trustees Goldburg ISD,,,Weldon Duff,33,0,30,3,0,0
Montague,12,Board of Trustees Goldburg ISD,,,Weldon Duff,53,2,26,25,0,0
Montague,15,Board of Trustees Goldburg ISD,,,Weldon Duff,86,1,73,12,0,0
Montague,16,Board of Trustees Goldburg ISD,,,Weldon Duff,28,0,25,3,0,0
Montague,7,Board of Trustees Saint Jo ISD,,,Dee Weger,53,0,41,12,0,0
Montague,9,Board of Trustees Saint Jo ISD,,,Dee Weger,10,3,7,0,0,0
Montague,13,Board of Trustees Saint Jo ISD,,,Dee Weger,322,4,261,57,0,0
Montague,7,Board of Trustees Saint Jo ISD,,,Leeton Phillips,33,0,27,6,0,0
Montague,9,Board of Trustees Saint Jo ISD,,,Leeton Phillips,11,3,8,0,0,0
Montague,13,Board of Trustees Saint Jo ISD,,,Leeton Phillips,405,4,324,77,0,0
Montague,7,Board of Trustees Saint Jo ISD,,,Tim Hennessey,38,0,33,5,0,0
Montague,9,Board of Trustees Saint Jo ISD,,,Tim Hennessey,7,1,6,0,0,0
Montague,13,Board of Trustees Saint Jo ISD,,,Tim Hennessey,340,3,258,79,0,0
Montague,2,Chief Justice,,REP,Bonnie Sudderth,1804,40,1514,247,3,0
Montague,3,Chief Justice,,REP,Bonnie Sudderth,969,9,786,171,3,0
Montague,4,Chief Justice,,REP,Bonnie Sudderth,400,8,301,90,1,0
Montague,5,Chief Justice,,REP,Bonnie Sudderth,674,11,555,107,1,0
Montague,6,Chief Justice,,REP,Bonnie Sudderth,602,19,497,82,4,0
Montague,7,Chief Justice,,REP,Bonnie Sudderth,800,13,548,237,2,0
Montague,8,Chief Justice,,REP,Bonnie Sudderth,607,8,385,213,1,0
Montague,9,Chief Justice,,REP,Bonnie Sudderth,869,20,722,125,2,0
Montague,10,Chief Justice,,REP,Bonnie Sudderth,696,11,566,117,2,0
Montague,11,Chief Justice,,REP,Bonnie Sudderth,623,15,500,106,2,0
Montague,12,Chief Justice,,REP,Bonnie Sudderth,90,1,42,47,0,0
Montague,13,Chief Justice,,REP,Bonnie Sudderth,693,9,554,129,1,0
Montague,14,Chief Justice,,REP,Bonnie Sudderth,191,1,137,51,2,0
Montague,15,Chief Justice,,REP,Bonnie Sudderth,392,4,324,61,3,0
Montague,16,Chief Justice,,REP,Bonnie Sudderth,220,3,183,34,0,0
Montague,9,Constable Pct 1,,REP,Harvey Johnson,859,19,711,129,0,0
Montague,10,Constable Pct 1,,REP,Harvey Johnson,702,11,571,120,0,0
Montague,11,Constable Pct 1,,REP,Harvey Johnson,636,14,516,106,0,0
Montague,12,Constable Pct 1,,REP,Harvey Johnson,88,1,41,46,0,0
Montague,13,Constable Pct 1,,REP,Harvey Johnson,707,9,569,129,0,0
Montague,14,Constable Pct 1,,REP,Harvey Johnson,187,1,135,51,0,0
Montague,15,Constable Pct 1,,REP,Harvey Johnson,378,4,314,60,0,0
Montague,2,Constable Pct 2,,REP,Jerry DeMoss,1777,40,1493,244,0,0
Montague,3,Constable Pct 2,,REP,Jerry DeMoss,939,10,761,168,0,0
Montague,4,Constable Pct 2,,REP,Jerry DeMoss,386,9,295,82,0,0
Montague,5,Constable Pct 2,,REP,Jerry DeMoss,667,13,546,108,0,0
Montague,6,Constable Pct 2,,REP,Jerry DeMoss,576,20,477,79,0,0
Montague,7,Constable Pct 2,,REP,Jerry DeMoss,768,13,527,228,0,0
Montague,8,Constable Pct 2,,REP,Jerry DeMoss,592,9,376,207,0,0
Montague,16,Constable Pct 2,,REP,Jerry DeMoss,215,3,177,35,0,0
Montague,2,County Attorney,,REP,Clay Riddle II,1803,41,1514,248,0,0
Montague,3,County Attorney,,REP,Clay Riddle II,953,10,773,170,0,0
Montague,4,County Attorney,,REP,Clay Riddle II,396,8,299,89,0,0
Montague,5,County Attorney,,REP,Clay Riddle II,672,12,553,107,0,0
Montague,6,County Attorney,,REP,Clay Riddle II,590,19,491,80,0,0
Montague,7,County Attorney,,REP,Clay Riddle II,796,14,542,240,0,0
Montague,8,County Attorney,,REP,Clay Riddle II,595,8,378,209,0,0
Montague,9,County Attorney,,REP,Clay Riddle II,862,20,713,129,0,0
Montague,10,County Attorney,,REP,Clay Riddle II,695,10,569,116,0,0
Montague,11,County Attorney,,REP,Clay Riddle II,624,15,503,106,0,0
Montague,12,County Attorney,,REP,Clay Riddle II,91,1,42,48,0,0
Montague,13,County Attorney,,REP,Clay Riddle II,696,9,558,129,0,0
Montague,14,County Attorney,,REP,Clay Riddle II,186,1,134,51,0,0
Montague,15,County Attorney,,REP,Clay Riddle II,385,4,320,61,0,0
Montague,16,County Attorney,,REP,Clay Riddle II,222,3,183,36,0,0
Montague,4,County Commissioner Pct 1,,REP,Roy Darden,390,9,294,87,0,0
Montague,6,County Commissioner Pct 1,,REP,Roy Darden,592,19,494,79,0,0
Montague,7,County Commissioner Pct 1,,REP,Roy Darden,771,13,522,236,0,0
Montague,8,County Commissioner Pct 1,,REP,Roy Darden,587,9,378,200,0,0
Montague,10,County Commissioner Pct 3,,REP,Mark Murphey,727,12,594,121,0,0
Montague,11,County Commissioner Pct 3,,REP,Mark Murphey,659,15,531,113,0,0
Montague,12,County Commissioner Pct 3,,REP,Mark Murphey,89,1,41,47,0,0
Montague,15,County Commissioner Pct 3,,REP,Mark Murphey,383,4,318,61,0,0
Montague,16,County Commissioner Pct 3,,REP,Mark Murphey,225,3,186,36,0,0
Montague,2,County Tax Assessor-Collector,,REP,Kathy Phillips,1800,44,1509,247,0,0
Montague,3,County Tax Assessor-Collector,,REP,Kathy Phillips,955,10,775,170,0,0
Montague,4,County Tax Assessor-Collector,,REP,Kathy Phillips,401,9,304,88,0,0
Montague,5,County Tax Assessor-Collector,,REP,Kathy Phillips,675,13,557,105,0,0
Montague,6,County Tax Assessor-Collector,,REP,Kathy Phillips,595,18,497,80,0,0
Montague,7,County Tax Assessor-Collector,,REP,Kathy Phillips,800,14,543,243,0,0
Montague,8,County Tax Assessor-Collector,,REP,Kathy Phillips,606,9,388,209,0,0
Montague,9,County Tax Assessor-Collector,,REP,Kathy Phillips,876,21,724,131,0,0
Montague,10,County Tax Assessor-Collector,,REP,Kathy Phillips,709,12,578,119,0,0
Montague,11,County Tax Assessor-Collector,,REP,Kathy Phillips,649,16,525,108,0,0
Montague,12,County Tax Assessor-Collector,,REP,Kathy Phillips,93,1,44,48,0,0
Montague,13,County Tax Assessor-Collector,,REP,Kathy Phillips,702,9,563,130,0,0
Montague,14,County Tax Assessor-Collector,,REP,Kathy Phillips,190,1,138,51,0,0
Montague,15,County Tax Assessor-Collector,,REP,Kathy Phillips,391,4,325,62,0,0
Montague,16,County Tax Assessor-Collector,,REP,Kathy Phillips,222,3,183,36,0,0
Montague,2,Dist Attorney,,REP,Katie (Woods) Boggeman,1753,40,1471,242,0,0
Montague,3,Dist Attorney,,REP,Katie (Woods) Boggeman,935,10,758,167,0,0
Montague,4,Dist Attorney,,REP,Katie (Woods) Boggeman,389,8,296,85,0,0
Montague,5,Dist Attorney,,REP,Katie (Woods) Boggeman,666,13,548,105,0,0
Montague,6,Dist Attorney,,REP,Katie (Woods) Boggeman,579,18,484,77,0,0
Montague,7,Dist Attorney,,REP,Katie (Woods) Boggeman,784,13,537,234,0,0
Montague,8,Dist Attorney,,REP,Katie (Woods) Boggeman,583,9,374,200,0,0
Montague,9,Dist Attorney,,REP,Katie (Woods) Boggeman,868,19,722,127,0,0
Montague,10,Dist Attorney,,REP,Katie (Woods) Boggeman,694,11,567,115,1,0
Montague,11,Dist Attorney,,REP,Katie (Woods) Boggeman,637,15,514,108,0,0
Montague,12,Dist Attorney,,REP,Katie (Woods) Boggeman,91,1,42,48,0,0
Montague,13,Dist Attorney,,REP,Katie (Woods) Boggeman,683,9,548,126,0,0
Montague,14,Dist Attorney,,REP,Katie (Woods) Boggeman,187,1,135,51,0,0
Montague,15,Dist Attorney,,REP,Katie (Woods) Boggeman,385,4,321,58,2,0
Montague,16,Dist Attorney,,REP,Katie (Woods) Boggeman,219,3,180,36,0,0
Montague,2,Dist Judge,,REP,Trish Coleman Byars,1795,40,1511,244,0,0
Montague,3,Dist Judge,,REP,Trish Coleman Byars,949,10,772,167,0,0
Montague,4,Dist Judge,,REP,Trish Coleman Byars,394,8,299,87,0,0
Montague,5,Dist Judge,,REP,Trish Coleman Byars,679,12,558,109,0,0
Montague,6,Dist Judge,,REP,Trish Coleman Byars,585,18,489,78,0,0
Montague,7,Dist Judge,,REP,Trish Coleman Byars,790,14,541,235,0,0
Montague,8,Dist Judge,,REP,Trish Coleman Byars,597,8,379,210,0,0
Montague,9,Dist Judge,,REP,Trish Coleman Byars,865,20,718,127,0,0
Montague,10,Dist Judge,,REP,Trish Coleman Byars,699,10,572,116,1,0
Montague,11,Dist Judge,,REP,Trish Coleman Byars,631,15,508,108,0,0
Montague,12,Dist Judge,,REP,Trish Coleman Byars,90,1,41,48,0,0
Montague,13,Dist Judge,,REP,Trish Coleman Byars,687,9,551,127,0,0
Montague,14,Dist Judge,,REP,Trish Coleman Byars,185,1,132,52,0,0
Montague,15,Dist Judge,,REP,Trish Coleman Byars,388,4,321,61,2,0
Montague,16,Dist Judge,,REP,Trish Coleman Byars,223,3,183,37,0,0
Montague,2,Judge,7,REP,Gina Parker,1797,40,1503,242,12,0
Montague,3,Judge,7,REP,Gina Parker,943,9,769,162,3,0
Montague,4,Judge,7,REP,Gina Parker,392,6,294,89,3,0
Montague,5,Judge,7,REP,Gina Parker,662,10,540,108,4,0
Montague,6,Judge,7,REP,Gina Parker,586,19,488,74,5,0
Montague,7,Judge,7,REP,Gina Parker,795,16,543,232,4,0
Montague,8,Judge,7,REP,Gina Parker,608,8,388,210,2,0
Montague,9,Judge,7,REP,Gina Parker,848,18,709,115,6,0
Montague,10,Judge,7,REP,Gina Parker,703,10,574,114,5,0
Montague,11,Judge,7,REP,Gina Parker,601,14,484,102,1,0
Montague,12,Judge,7,REP,Gina Parker,92,1,40,49,2,0
Montague,13,Judge,7,REP,Gina Parker,676,8,548,118,2,0
Montague,14,Judge,7,REP,Gina Parker,187,1,135,49,2,0
Montague,15,Judge,7,REP,Gina Parker,387,3,323,57,4,0
Montague,16,Judge,7,REP,Gina Parker,213,3,176,34,0,0
Montague,2,Judge,7,DEM,Nancy Mulder,193,17,146,28,2,0
Montague,3,Judge,7,DEM,Nancy Mulder,106,6,77,22,1,0
Montague,4,Judge,7,DEM,Nancy Mulder,40,6,30,4,0,0
Montague,5,Judge,7,DEM,Nancy Mulder,86,7,67,12,0,0
Montague,6,Judge,7,DEM,Nancy Mulder,81,0,61,20,0,0
Montague,7,Judge,7,DEM,Nancy Mulder,77,2,43,32,0,0
Montague,8,Judge,7,DEM,Nancy Mulder,69,5,45,19,0,0
Montague,9,Judge,7,DEM,Nancy Mulder,112,5,83,23,1,0
Montague,10,Judge,7,DEM,Nancy Mulder,81,3,66,12,0,0
Montague,11,Judge,7,DEM,Nancy Mulder,78,1,62,15,0,0
Montague,12,Judge,7,DEM,Nancy Mulder,7,1,3,3,0,0
Montague,13,Judge,7,DEM,Nancy Mulder,67,2,48,17,0,0
Montague,14,Judge,7,DEM,Nancy Mulder,15,0,12,3,0,0
Montague,15,Judge,7,DEM,Nancy Mulder,46,6,31,8,1,0
Montague,16,Judge,7,DEM,Nancy Mulder,25,2,17,6,0,0
Montague,2,Judge,8,DEM,Chika Anyiam,181,18,134,27,2,0
Montague,3,Judge,8,DEM,Chika Anyiam,103,5,75,22,1,0
Montague,4,Judge,8,DEM,Chika Anyiam,38,4,28,6,0,0
Montague,5,Judge,8,DEM,Chika Anyiam,82,7,63,12,0,0
Montague,6,Judge,8,DEM,Chika Anyiam,73,0,58,15,0,0
Montague,7,Judge,8,DEM,Chika Anyiam,73,2,37,34,0,0
Montague,8,Judge,8,DEM,Chika Anyiam,68,5,46,17,0,0
Montague,9,Judge,8,DEM,Chika Anyiam,104,5,77,22,0,0
Montague,10,Judge,8,DEM,Chika Anyiam,80,4,66,10,0,0
Montague,11,Judge,8,DEM,Chika Anyiam,70,0,55,15,0,0
Montague,12,Judge,8,DEM,Chika Anyiam,7,1,3,3,0,0
Montague,13,Judge,8,DEM,Chika Anyiam,59,2,43,14,0,0
Montague,14,Judge,8,DEM,Chika Anyiam,14,0,10,4,0,0
Montague,15,Judge,8,DEM,Chika Anyiam,45,6,31,7,1,0
Montague,16,Judge,8,DEM,Chika Anyiam,24,2,16,6,0,0
Montague,2,Judge,8,REP,Lee Finley,1798,39,1504,242,13,0
Montague,3,Judge,8,REP,Lee Finley,946,9,772,162,3,0
Montague,4,Judge,8,REP,Lee Finley,393,8,296,86,3,0
Montague,5,Judge,8,REP,Lee Finley,663,10,541,108,4,0
Montague,6,Judge,8,REP,Lee Finley,593,20,490,78,5,0
Montague,7,Judge,8,REP,Lee Finley,795,16,546,229,4,0
Montague,8,Judge,8,REP,Lee Finley,605,8,384,211,2,0
Montague,9,Judge,8,REP,Lee Finley,857,18,715,116,8,0
Montague,10,Judge,8,REP,Lee Finley,698,10,568,115,5,0
Montague,11,Judge,8,REP,Lee Finley,606,16,487,101,2,0
Montague,12,Judge,8,REP,Lee Finley,91,1,41,47,2,0
Montague,13,Judge,8,REP,Lee Finley,681,7,551,121,2,0
Montague,14,Judge,8,REP,Lee Finley,184,1,135,46,2,0
Montague,15,Judge,8,REP,Lee Finley,389,3,324,58,4,0
Montague,16,Judge,8,REP,Lee Finley,217,3,180,34,0,0
Montague,2,Justice,2,DEM,DaSean Jones,187,18,137,30,2,0
Montague,3,Justice,2,DEM,DaSean Jones,112,6,81,24,1,0
Montague,4,Justice,2,DEM,DaSean Jones,40,4,29,7,0,0
Montague,5,Justice,2,DEM,DaSean Jones,87,6,67,14,0,0
Montague,6,Justice,2,DEM,DaSean Jones,81,0,62,19,0,0
Montague,7,Justice,2,DEM,DaSean Jones,84,3,44,37,0,0
Montague,8,Justice,2,DEM,DaSean Jones,68,4,46,18,0,0
Montague,9,Justice,2,DEM,DaSean Jones,113,5,85,23,0,0
Montague,10,Justice,2,DEM,DaSean Jones,83,4,66,13,0,0
Montague,11,Justice,2,DEM,DaSean Jones,78,0,62,16,0,0
Montague,12,Justice,2,DEM,DaSean Jones,7,1,3,3,0,0
Montague,13,Justice,2,DEM,DaSean Jones,60,2,41,17,0,0
Montague,14,Justice,2,DEM,DaSean Jones,14,0,11,3,0,0
Montague,15,Justice,2,DEM,DaSean Jones,45,5,30,9,1,0
Montague,16,Justice,2,DEM,DaSean Jones,26,2,18,6,0,0
Montague,2,Justice,2,REP,Jimmy Blacklock,1811,38,1518,242,13,0
Montague,3,Justice,2,REP,Jimmy Blacklock,948,9,776,160,3,0
Montague,4,Justice,2,REP,Jimmy Blacklock,387,8,290,86,3,0
Montague,5,Justice,2,REP,Jimmy Blacklock,664,11,544,105,4,0
Montague,6,Justice,2,REP,Jimmy Blacklock,593,20,492,76,5,0
Montague,7,Justice,2,REP,Jimmy Blacklock,791,15,542,230,4,0
Montague,8,Justice,2,REP,Jimmy Blacklock,614,9,389,214,2,0
Montague,9,Justice,2,REP,Jimmy Blacklock,859,18,713,120,8,0
Montague,10,Justice,2,REP,Jimmy Blacklock,703,12,571,115,5,0
Montague,11,Justice,2,REP,Jimmy Blacklock,608,15,488,103,2,0
Montague,12,Justice,2,REP,Jimmy Blacklock,92,1,41,48,2,0
Montague,13,Justice,2,REP,Jimmy Blacklock,684,8,555,119,2,0
Montague,14,Justice,2,REP,Jimmy Blacklock,189,1,138,48,2,0
Montague,15,Justice,2,REP,Jimmy Blacklock,394,4,329,57,4,0
Montague,16,Justice,2,REP,Jimmy Blacklock,212,3,177,32,0,0
Montague,2,Justice,4,DEM,Christine Vinh Weems,193,19,142,30,2,0
Montague,3,Justice,4,DEM,Christine Vinh Weems,118,7,85,25,1,0
Montague,4,Justice,4,DEM,Christine Vinh Weems,44,5,30,9,0,0
Montague,5,Justice,4,DEM,Christine Vinh Weems,97,7,76,14,0,0
Montague,6,Justice,4,DEM,Christine Vinh Weems,80,0,60,20,0,0
Montague,7,Justice,4,DEM,Christine Vinh Weems,84,3,45,36,0,0
Montague,8,Justice,4,DEM,Christine Vinh Weems,76,5,48,23,0,0
Montague,9,Justice,4,DEM,Christine Vinh Weems,117,5,87,25,0,0
Montague,10,Justice,4,DEM,Christine Vinh Weems,89,4,70,15,0,0
Montague,11,Justice,4,DEM,Christine Vinh Weems,81,1,60,20,0,0
Montague,12,Justice,4,DEM,Christine Vinh Weems,8,1,4,3,0,0
Montague,13,Justice,4,DEM,Christine Vinh Weems,69,2,48,19,0,0
Montague,14,Justice,4,DEM,Christine Vinh Weems,17,0,12,5,0,0
Montague,15,Justice,4,DEM,Christine Vinh Weems,55,5,39,10,1,0
Montague,16,Justice,4,DEM,Christine Vinh Weems,28,2,20,6,0,0
Montague,2,Justice,4,REP,John Devine,1795,37,1508,238,12,0
Montague,3,Justice,4,REP,John Devine,938,8,768,159,3,0
Montague,4,Justice,4,REP,John Devine,378,7,288,80,3,0
Montague,5,Justice,4,REP,John Devine,648,10,529,105,4,0
Montague,6,Justice,4,REP,John Devine,585,20,485,75,5,0
Montague,7,Justice,4,REP,John Devine,787,14,540,229,4,0
Montague,8,Justice,4,REP,John Devine,597,8,383,204,2,0
Montague,9,Justice,4,REP,John Devine,843,18,700,117,8,0
Montague,10,Justice,4,REP,John Devine,690,11,564,111,4,0
Montague,11,Justice,4,REP,John Devine,600,14,486,98,2,0
Montague,12,Justice,4,REP,John Devine,91,1,40,48,2,0
Montague,13,Justice,4,REP,John Devine,672,8,545,117,2,0
Montague,14,Justice,4,REP,John Devine,186,1,137,46,2,0
Montague,15,Justice,4,REP,John Devine,384,4,320,56,4,0
Montague,16,Justice,4,REP,John Devine,211,3,175,33,0,0
Montague,2,Justice,4,REP,Wade Birdwell,1792,38,1501,250,3,0
Montague,3,Justice,4,REP,Wade Birdwell,964,9,780,172,3,0
Montague,4,Justice,4,REP,Wade Birdwell,400,9,301,89,1,0
Montague,5,Justice,4,REP,Wade Birdwell,673,11,555,106,1,0
Montague,6,Justice,4,REP,Wade Birdwell,599,19,494,82,4,0
Montague,7,Justice,4,REP,Wade Birdwell,801,14,547,238,2,0
Montague,8,Justice,4,REP,Wade Birdwell,602,8,381,212,1,0
Montague,9,Justice,4,REP,Wade Birdwell,863,20,715,126,2,0
Montague,10,Justice,4,REP,Wade Birdwell,689,10,562,115,2,0
Montague,11,Justice,4,REP,Wade Birdwell,621,15,496,108,2,0
Montague,12,Justice,4,REP,Wade Birdwell,87,1,39,47,0,0
Montague,13,Justice,4,REP,Wade Birdwell,685,8,551,125,1,0
Montague,14,Justice,4,REP,Wade Birdwell,188,1,135,50,2,0
Montague,15,Justice,4,REP,Wade Birdwell,389,4,321,61,3,0
Montague,16,Justice,4,REP,Wade Birdwell,219,3,182,34,0,0
Montague,2,Justice,5,REP,Dabney Bassel,1788,41,1497,247,3,0
Montague,3,Justice,5,REP,Dabney Bassel,956,9,774,170,3,0
Montague,4,Justice,5,REP,Dabney Bassel,395,8,297,89,1,0
Montague,5,Justice,5,REP,Dabney Bassel,669,11,550,107,1,0
Montague,6,Justice,5,REP,Dabney Bassel,598,19,494,81,4,0
Montague,7,Justice,5,REP,Dabney Bassel,800,14,547,237,2,0
Montague,8,Justice,5,REP,Dabney Bassel,599,8,380,210,1,0
Montague,9,Justice,5,REP,Dabney Bassel,857,20,711,124,2,0
Montague,10,Justice,5,REP,Dabney Bassel,694,11,565,116,2,0
Montague,11,Justice,5,REP,Dabney Bassel,615,15,493,105,2,0
Montague,12,Justice,5,REP,Dabney Bassel,90,1,41,48,0,0
Montague,13,Justice,5,REP,Dabney Bassel,684,9,548,126,1,0
Montague,14,Justice,5,REP,Dabney Bassel,187,1,134,50,2,0
Montague,15,Justice,5,REP,Dabney Bassel,390,4,322,61,3,0
Montague,16,Justice,5,REP,Dabney Bassel,217,3,180,34,0,0
Montague,2,Justice,6,DEM,Bonnie Lee Goldstein,185,18,140,26,1,0
Montague,3,Justice,6,DEM,Bonnie Lee Goldstein,107,7,77,22,1,0
Montague,4,Justice,6,DEM,Bonnie Lee Goldstein,48,7,33,8,0,0
Montague,5,Justice,6,DEM,Bonnie Lee Goldstein,86,6,66,14,0,0
